Claim,Evidences,Label,Date,Url
CLAIM: INEC has uploaded National Assembly election results on the IReV portal but has yet to do so for presidential elections.,"Reactions worldwide have followed the February 25th  presidential election in Africa’s biggest democracy, which produced Bola Tinubu as Nigeria’s next leader. Mr Tinubu was the candidate of the ruling All Progressives Congress (APC). Major opposition parties in the fiercely contested polls have refused to concede defeat, and the two closest contestants have formally challenged the results in court.  Mr Tinubu, 70, scored 8,794,726 votes, the highest of all the candidates. His closest rival, Atiku Abubakar of the Peoples Democratic Party (PDP), scored 6,984,520 votes to emerge second in the election, while Labour Party’s Peter Obi got a total of 6,101,533. PDP’s Mr Atiku called the result “a rape of democracy” after getting 29 per cent of the vote, and Labour Party’s Mr Obi, who got 25 per cent, told supporters they had been “robbed” of victory and said the elections is “worst in Nigeria’s recent history.” The opposition parties are lamenting the inability of the Independent National Electoral Commission (INEC) to upload screenshots of polling station results to a central portal, IReV, created for the purpose.  INEC’s guideline for the election explicitly states that results from each of the more than 176,000 polling stations will be electronically transmitted to the commission’s collation system and also uploaded to its website. But that was not possible with INEC apologising for “technical glitches.” As Mr Obi and Mr Atiku continue their challenge of the presidential elections results for not being uploaded on IReV timely, they have ironically endorsed and celebrated some of the election results at the national legislative levels favourable to their parties. The Elections of the federal lawmakers were simultaneously held on the same day as the presidential election.  For instance, on 8 March, Mr Obi organised a dinner for the elected legislative members of the Labour Party. “This evening, I hosted the welcome dinner for Labour Party Senators and Members of the House of Representatives in Abuja,” he wrote on Twitter with pictures attached from the event. The senator-elect of the FCT, Ireti Kingibe, also posted: “The elected Senators and House of Representative members of our great party came together to dine and celebrate with each other in harmony. Thank you @PeterObi, for hosting us.” The Labour Party won 40 seats in the National Assembly, 6 Senates and 34 House of Representative positions. On the other hand, the PDP got 29 seats in the Senate and 102 in the House of Representatives. The APC won most of the seats, with 57 in the Senate and 162 in the House of Representatives. The results of the Senate and House of Representatives elections are expected to be uploaded and published on the IReV portal at the end of voting. Some public commentators have claimed that INEC has since uploaded the national legislative-level election results. In a widely circulated video, Emmanuel Ogebe, the Coordinator of Washington-based Democratic Election Monitoring Observers (DEMO), said: “Just to show you the extent of the mischief that occurred, the result of National Assembly elections which happened at the same time simultaneously with presidential elections results were able to be uploaded on IReV but the presidential election results were not uploaded. “Till this moment, the results have not been completely uploaded,” Mr Ogebe said at an event on 8 March in Washington. Then a Twitter user Daniel Okezue wrote: “I told you that @inecnigeria could not be trusted. I told you that elections are not rigged at PUs but at collation centres. Whatever makes you able to upload National Assembly results but couldn’t upload the presidential is the beginning of rigging. INEC has to answer for this.” One of Mr Obi’s special advisers, Valentine Ozigbo, wrote: “INEC officials uploaded the results of the National Assembly elections to the server without hitches.” But how true is the claim that INEC has uploaded the National Assembly elections results on IReV but has yet to do so for the presidential election? PREMIUM TIMES extracted data on the INEC portal on Monday, 27 March, and we discovered that out of 176,846, INEC has uploaded 166,656 polling unit results from presidential elections. This represents 94.24 per cent. The electoral commission is still expected to upload 10,190 polling units results. On the other hand, INEC has uploaded 150,281 polling units results for senatorial elections on the IReV portal, representing 84.97 per cent of the total.  As for the House of Representatives, the electoral commission has uploaded 152,055 polling units results from federal constituencies on IReV. This represents 85.98 per cent of the results. A review of the results by PREMIUM TIMES shows that as of Monday, 27 March, only 48 per cent of FCT senatorial elections results were published on IReV. INEC has published only 1,356 out of 2,822 polling unit results in the FCT senatorial district. Similarly, only 78 per cent of senatorial election results in Akwa Ibom South are uploaded on IReV. PDP’s Ekong Samson is the senator-elect of the Akwa Ibom Senatorial South district election. The electoral commission uploaded only 996 out of 1275 polling units results in the senatorial district. Then in Delta Central, INEC published 1399 out of 2180 polling units results of the senatorial elections. This represents 64.17 per cent of the final results that produced APC’s Ede Dafinone. Using official data from Nigeria’s electoral umpire, INEC, we found that out of 176,846, INEC has uploaded 166,656 polling unit results from presidential elections. This represents 94.24 per cent. On the other hand, INEC has published 150,281 (84.97 per cent) of the total results of senatorial elections and 152,055 (85.98 per cent) of the House of Representatives elections results uploaded on the IReV portal as of Monday, 27 March. Therefore it is false and misleading to say INEC has uploaded the results of national legislative elections but has yet to publish the presidential elections results. The data shows that INEC has uploaded and published more presidential election results on IReV than national assembly elections. ",FALSE,04/04/2023,https://dubawa.org/has-inec-uploaded-results-of-national-assembly-elections-on-irev-as-claimed/
Claim: The bacteria in yoghurt is the same as the one in the vagina.,"Yoghurt, the creamy and tangy dairy delight, has been a staple in cuisines worldwide for centuries. Whether it’s enjoyed on its own, as a savoury dip, or as a refreshing topping for your favourite fruits and granola, yoghurt is a versatile and nutritious food that has something for everyone. Yoghurt is made by fermenting milk with live cultures of bacteria packed with probiotics that promote healthy digestion and boost the immune system. It’s also a great source of protein, calcium, and other essential vitamins and minerals.  People often wonder about two common types of bacteria found in yoghurt and those in the vagina. While both types of bacteria are important, are they the same? Recently on Twitter, in a post, temmie (@me_lanin_pie) asserted that the bacteria found in the vagina is the same in Yoghurt. The tweet reads, “The bacteria found in yoghurt is the same bacteria found in the vagina”. As of the time of filing this report, the tweet had a combination of retweets, likes, comments and views of over 742,000 engagements. DUBAWA thought it important to verify this because of the conflicting views about the bacteria found in yoghurt and the vagina, its virality and the sensitive nature of the issue concerning public health. According to an Oxford University Press on National Library publication, the word “yoghourt” is believed to have come from the Turkish word “yoğurmak,” which means to thicken, coagulate, or curdle. During references to the health-promoting properties of yoghurt date back to 6000 BC in Indian Ayurvedic scripts, it was not until the 20th century that Stamen Grigorov, a Bulgarian medical student, attributed the benefits to lactic acid bacteria.  Bacteria play an essential role in our bodies, and we encounter different types of bacteria in various parts of our bodies. Medical News Today defines bacteria as microscopic, single-celled organisms that exist in their millions, in every environment, both inside and outside other organisms. Some bacteria are harmful, but most serve a useful purpose. They support many forms of life, both plant and animal and are used in industrial and medicinal processes. Yoghurt is a fermented milk product made by adding specific strains of bacteria to milk. It is made when heated milk is combined with bacteria and left to sit at a warm temperature for several hours.  According to Simon Pedersen, a Food Scientist at Arla Foods, “When we add bacteria to milk products, we refer to them as cultures and use those with a good reputation. They are called lactic acid bacteria or lactic acid cultures.” These bacteria convert the lactose in milk into lactic acid, which causes the milk to thicken and develop its characteristic tangy taste. The two most common species of lactic acid bacteria used in yoghurt production are Lactobacillus bulgaricus and Streptococcus thermophilous. On the other hand, the vagina contains a complex microbiome of different types of bacteria. The most dominant type of bacteria in a healthy vagina is the Lactobacillus species. These bacteria help maintain the vaginal pH, preventing the overgrowth of harmful bacteria that can lead to infections. The specific species of Lactobacillus present in the vagina include Lactobacillus crispatus, Lactobacillus jensenii, Lactobacillus iners, and Lactobacillus gasseri, among others. In 2015, Cecilia Westbrook, an MD/PhD student at the University of Wisconsin, made yoghurt using her vaginal bacteria. Rosanne Hertzberger, a Dutch microbiologist who studies vaginal bacteria at Washington University School of Medicine in the US, told ScienceAlert this was apparently not a good idea because our vaginas contain many of bad, as well as good, bacteria.  The dominant bacteria in the vagina is Lactobacillus, similar to the bacteria used to make yoghurt. However, not all Lactobacillus strains can create yoghurt, and the yoghurt we buy at supermarkets is made from a combination of different bacterial strains.  Ms Hertzberger replicated an experiment to make yoghurt using different Lactobacillus strains, but only one was remotely successful, producing sour milk with precipitated milk protein.  Gregor Reid, a professor of microbiology at the University of Western Ontario in Canada, also disagrees with the experiment by Ms Westbrook. According to Mr Reid, it is improbable that the experiment conducted by the woman resulted in any health benefits.  He said, “if she was eating it to get the benefits of the lactobacillus, she already has plenty in her vagina, so that makes no sense.” The bacteria used in yoghurt production are selected for their ability to ferment milk and create a specific taste and texture. According to a publication on Science Direct, the bacteria in the vagina are naturally occurring and play a vital role in maintaining the vaginal environment. One of the most significant differences between the bacteria in yoghurt and the vagina is their location. Yoghurt bacteria are primarily found in the digestive system, whereas vaginal bacteria are found in the reproductive system. Additionally, yoghurt bacteria are not a natural body part, whereas vaginal bacteria are. Another important difference is the role they play in the body. While yoghurt bacteria can help promote digestive health, vaginal bacteria are essential for reproductive health. A health expert, Omale Ogbe, in an interview with DUBAWA, stated that the bacterias are not the same based on the taxonomy.  “They may be of the same genus, but they are not the same specie as can be seen here for bacteria found in the vagina (Lactobacillus crispatus, Lactobacillus iners, Lactobacillus. jensenii, and Lactobacillus gasser) and here for yoghurt bacteria (Lactobacillus delbrueckii subsp. bulgaricus),” Mr Ogbe explained. While the bacteria found in yoghurt and the vagina may have some similarities, they are not the same. Yoghurt bacteria are selected for their ability to ferment milk and create a specific taste and texture, while vaginal bacteria are naturally occurring and play a vital role in maintaining reproductive health. ",FALSE,03/04/2023,https://dubawa.org/are-bacteria-found-in-yoghurt-the-same-as-one-in-vagina/
Claim: A viral WhatsApp message claims that the government of Dubai is giving out $110 as a Ramadan relief fund.,"Worldwide, Muslims start their annual fast period in the month of Ramadan. During this period, information continues to flood the internet. Amid their fast, Muslims are bound to have a special need to buy foodstuffs and carry out their faith in good health which requires funds.  Amid this, a message that the government of Dubai is sharing $110 as Ramadan Relief Funds, and every individual of all nationalities can apply. DUBAWA carried out a keyword search on the Dubai Ramadan relief fund mentioned in the message but did not find any. Our findings, however, showed different organisations and charities are giving out food to people during Ramadan. According to the Arab News, Dubai’s ruler, Sheikh Mohammed bin Rashid Al-Maktoum, started a program to sustainably provide hundreds of millions of meals to those in need during Ramadan. We subjected the link to Whois.com to verify the website’s source, and we found that the website was created in Oyo state, Nigeria, not in Dubai. Another red flag is that people who visit the website can bypass the form on the page without filling out the “application form,” suggesting it is a malicious act. Another glaring red flag was the presence of fake testimonial statements. This is a common technique online con artists employ to entice prey into their cave. Despite not being clickable, the links to the alleged remarks still serve as a trickery tool for users. After clicking “submit” without inputting my details on the landing page, we came across messages that revealed the number of applicants is limited to 50,000. After submission, the website requests additional information from visitors before granting entry to the grant, as seen in the screenshot below; a trick commonly used by con artists to get people to visit their websites. Part of this additional information which is the request to share with groups and friends, explains why the message went viral on WhatsApp.  Our findings show that the Dubai government is not giving out Ramadan relief funds, and the message was shared with ill intent. Hence the claim is false. ",FALSE,03/04/2023,https://dubawa.org/dubai-government-not-giving-ramadan-relief-funds-as-claimed-in-viral-whatsapp-message/
"Claim: Pastor Enoch Adeboye, the General Overseer of the Redeemed Christian Church of God (RCCG), allegedly led a protest against former President Goodluck Jonathan in 2014.","On February 21, 2023, a Twitter user with the handle Bibi Baby Boy @escobless tweeted a photo showing Mr Adeboye with other men dressed in suits and paramilitary uniforms holding placards as a sign of protest. The Twitter user shared the image with a caption suggesting that the cleric was leading church members in a protest against Mr Jonathan in 2014. The tweet garnered over 3,000 retweets and over 7,224 likes and reads: “In 2014, RCCG led a march against Jonathan cos they wanted Buhari with the hope that Osinbajo will take over in 2023. Four days to the polls with one viable Christian on the ballot named Peter Obi they’re suddenly quiet. Pastor Paul Adefarasin is telling us to vote Saul. Frauds!!” Results from the search showed that the image was captured in 2020 during Mr Buhari’s administration. Findings revealed that the photo was from a peaceful protest, led by Mr Adeboye, against widespread killings in the country at the time, as seen here and here.  Meanwhile, according to a report by Vanguard Newspaper, Mr Adeboye had earlier in 2010 sent a petition to stage a one-million protest against the spate of insecurity in Nigeria. However, a  thorough online search shows that the protest did not hold. The viral photo was originally taken in 2020 during Mr Buhari’s administration – not in 2014 as claimed. Mr Adeboye did not lead a protest against Mr Jonathan in 2014. The photo was, therefore, shared in the wrong context to mislead people. ",MISLEADING,03/04/2023,https://dubawa.org/did-adeboye-lead-protest-against-jonathan-in-2014-as-twitter-user-claims/
"Claim: “The purported letter from U.S Ambassador McCarthy accusing Liberians in the USA of spreading information is fake,” says activist Martin K.N. Kollie","Liberians residing in the United States who were noted for using the traditional media or radio stations back home to spew allegations were shocked after the US embassy openly debunked their actions. The US envoy in Liberia said most of the controversies emerging in Liberian media ahead of the elections originated from the United States. “Today, I am ashamed to tell you that the most irresponsible controversies to emerge in Liberia’s media over the past month have originated from the United States. While responsible critical observations from the Liberian diaspora can be healthy, some cowardly media personalities and political personalities have intentionally disseminated rumours or misinformation into Liberia’s political environment from the safety of their studios and offices in the U.S.,” Ambassador McCarthy said in his opening remarks with the anti-corruption coordinators. His statement comes on the heels of allegations by persons based in the US that City Mayor of Monrovia, Jefferson Koijee, masterminded the killing of former Chief Justice’s daughter, Charloe Musu, by sponsoring a City police officer, Varlee Telleh, who is an ex-fighter for former President Charles Taylor during Liberia’s civil crisis.  Liberian lawyer Jerome Verdier, currently residing in the US, made this particular allegation.  He was also the online guest panellist on the SpoonTalk show. The Mayor, who was accused of masterminding the murder, has, through his legal team, challenged Verdier to provide evidence to authenticate his claim to help the Police force with an ongoing investigation. Verdier is not the only person known for trading allegations and disinformation. Martin Kollie, who also resides in the diaspora but is vocal on local issues in Liberia, is known to have traded some false news as well, one of which was investigated by DUBAWA.  For example, his claim about the doctor to patients ratio in the country was found to be palpably false after DUBAWA ‘Fact-Checked the claim. Attached is the report. In discussing the issue raised by Liberia’s US Ambassador about disinformation from Liberians in the US, Martin Kollie sought to deny there was no such comment by the US Ambassador. He alleged the comment attributed to the US Ambassador was no more than pro-CDC propaganda being shared on Facebook. Kollie’s post, dated March 15, 2023, has generated over two hundred controversial comments, thirty-one shares and 292 Facebook likes and emojis. Though some Facebook commenters disagreed with the claimant under his post, others believed him. Given the mention of a prominent diplomat and the significance of the information to Liberia and its biting effects on the nation, DUBAWA decided to verify the post by activist Martin K.N. Kollie. Again, as a result of the controversy generated by Martin Kollie’s post, insisting the comment by the Ambassador was non-existent, DUBAWA had every responsibility to verify if the US Ambassador’s comment was indeed made.  ",FALSE,03/04/2023,https://dubawa.org/us-envoys-comment-about-disinformation-from-some-liberians-in-us-not-fake/
"Claim: Nigeria’s Minister of Finance, Zainab Ahmed, recently claimed that the country’s 7.5% VAT rate is the lowest in the world.","As Nigeria struggles with a rising cost of governance and depleting revenue, the government continues to look for avenues to raise money. One such way is through Value Added Tax (VAT).  Recently, the country’s Minister of Finance, Hajia Zainab Ahmed, while paying a courtesy call on Nigeria’s international broadcasting station, Voice of Nigeria, argued that Nigeria should raise more revenue from VAT, by increasing the rate from 7.5% to 10%. To justify her stance, the minister stated, “VAT was one of the ways to increase revenue, and we still have to increase VAT because, at 7.5 per cent, Nigeria has the lowest VAT rate in the world, not in Africa, in the world.” VAT is a consumption tax added to the price of goods and services and paid when a good is purchased, or a service is rendered. The consumer carries the cost. Introduced in 1993 to replace the sales tax in Nigeria, VAT continues to take more space in its contribution to Nigeria’s revenue, reaching a whopping N1.2 trillion Naira in the first six months of 2022.  VAT is a major source of revenue for governments worldwide and requires businesses to keep detailed records of their sales and purchases. The minister’s position as a high-ranking government official, and with powers to make decisions with far-reaching consequences, informs DUBAWA’s fact-check. To verify the minister’s claim, DUBAWA first looked through “tax summaries,” an online tax portal run by one of the world’s leading financial consultancy companies, PricewaterhouseCoopers, PWC. The website holds an overview of up-to-date statutory VAT rates across different countries.  At least three countries –Thailand, United Arab Emirates, and Oman– on the portal have VAT rates lower than the 7.5% of Nigeria as of 2023. To confirm that the information on the portal is accurate, DUBAWA dug deeper into state-owned websites. On the website of Thailand’s revenue department, the VAT rate for the country is listed as 7%. Also, information on the website of the UAE’s Ministry of Finance says VAT, which was introduced in the country in 2018, is charged at the rate of  5%. In addition, chapter 5, article 36 of Oman’s VAT law, available on the Tax Authority website, fixes the country’s VAT at 5%, lower than Nigeria’s 7.5% VAT rate.  Findings by DUBAWA and as available on the websites of three other countries show that Oman (5%), Thailand (7%), and the UAE (5%) have VAT rates lower than Nigeria’s 7.5% charge.  ",Verdict,03/04/2023,https://dubawa.org/nigerias-finance-minister-lied-in-claiming-countrys-vat-rate-lowest-in-the-world/
"Claim: Chris Ngige advised APC not to celebrate the presidential election victory, drawing from his legal experience with Peter Obi.","One such claim is the Twitter post by Gabriel Chima (@gabrielchimam) on March 21, 2023. In this tweet, Mr Chima claimed that the Minister of Labour and Employment, Chris Ngige, said he had told the APC not to celebrate the presidential election yet, drawing from his experience with Peter Obi in court.  The Twitter account used an image of Mr Ngige answering questions from journalists to support the tweet.  “I told APC not to celebrate the presidential election yet because only me knew what I saw in Peter Obi’s hands during our court case,” the quote reads. Recall that after INEC declared Mr Ngige of PDP as governor-elect in the April 19, 2003 governorship election in Anambra State, Mr Obi, who contested the election under All Progressive Grand Alliance (APGA), went to court to challenge the result.  He got his mandate back on March 17, 2006, following the Appeal Court ruling that Mr Obi was the rightful winner of the April 19, 2003 election. A detail of this account and the long judicial battle embarked upon by Peter Obi in Anambra State can be found in this publication by Premium Times.  As of March 22, 2023, @gabrielchimam’s tweet had gathered over 3,000 engagements, including views, likes, retweets and comments.  However, Twitter users in the comment section expressed disbelief. Twitter users’ suspicion of the tweet and the post’s virality prompted DUBAWA to verify it.  We conducted a keyword search to discover if the claim was reported on credible news platforms. We also searched for the alleged quote in recent news, but there was none.  We further discovered that Mr Ngige does not have a Twitter or Facebook. account.  DUBAWA then contacted the minister’s spokesperson, Emmanuel Nzomiwu, via WhatsApp, who debunked the claim. Mr Nsomiwu also confirmed via phone that Mr Ngige is not active on social media.  “Fake news. Disregard it, please. Thanks for reaching out,” Mr Nzomiwu said. Our findings and a message from Chris Ngige’s spokesperson, Emmanuel Nzomiwu, revealed that the quote credited to Mr Ngige is false.  ",FALSE,28/03/2023,https://dubawa.org/false-ngige-did-not-warn-apc-against-celebrating-the-presidential-election-victory/
"CLAIM: The President of Sierra Leone, Julius Maada Bio, has commissioned a brand New Freetown International Airport in Sierra Leone.","The Freetown International Airport has been a trending topic of discussion lately. This is owing to arguments around the newly commissioned facility in the Lungi airport by President Julius Maada Bio on Friday, March 3, 2023. While some say the facility is a ‘brand new’ airport, others believe it is an ‘extension’ of the existing one. Since the commissioning of the facility, some critics, including a Social Media Influencer, Joe Hanson, argued that the president commissioned a new terminal extension at the already existing Freetown International Airport, which contradicts the stand of supporters and government officials of the Sierra Leone People’s Party hailing construction of a new airport.  A member of the Strategic Communications Units at the Ministry of Information and Communications, Peter Beckley, also shared on a Facebook post that the new facility is an airport. He said in his post, “I witnessed the opening of the new Ultra modern Airport on Friday, March 3, 2023, which was an experience close to hysteria.” Given the controversy, this story has generated in Sierra Leone over the last couple of weeks and the need to set the records straight on the matter, DUBAWA decided to investigate the matter. DUBAWA sought to discover whether or not the edifice was a completely new one or an old one that had undergone a significant facelift.  On Wednesday, December 16, 2020, the Parliament of Sierra Leone debated and ratified the Lungi Freetown International Airport expansion project agreement between the government of Sierra Leone and the Russian-owned Summa Airports Limited. In his statement while presenting the agreement in parliament prior to ratification, the Deputy Minister of Transport and Aviation, Sadiq Sillah, said that the Freetown International Airport project would focus mainly on the construction of a new passenger terminal that will cater for three million passengers, construction of a VIP/presidential lounge, resealing of the runway, construction of the taxiway, a new airport traffic terminal, search and rescue fire force unit, rehabilitation of the car park and road safety and its signs. On Thursday, November 12, 2020,  the President,  Dr Julius Maada Bio, turned the sod for what State House described as, “the commencement of a $270 million work on the new airport terminal project that will accommodate one million passengers per year and provide 2000 direct jobs for Sierra Leoneans in the construction phase.” The Country Director of the SUMMA Group in Sierra Leone, Ibrahim Sheriff, said, “They were a multinational Turkish company operating in about  eight African countries, adding that they are building a new terminal that would create the transformation of a new airport in Lungi.”  In his keynote address, while launching the project, Dr Julius Maada Bio said, “They will build a brand new airport terminal, Presidential and VIP lounge – with ultra-modern equipment. The airport, he said, would accommodate at least eight large aircraft, adding that after its completion, Sierra Leone will have a brand new airport – a modern, safe, and state-of-the-art international airport reflective of the New Direction Government.” Contrary to what some Sierra Leone People’s Party party supporters and senior government ministers have been saying, President Bio, during the commissioning, cleared the air. He announced that the project is not a newly built airport, but a new passenger terminal: A new arrival and departure terminal built adjacent to the existing Lungi Freetown International Airport. This can be found on page six of his remarks at the Formal Commissioning of the New Freetown International Airport Terminal and Facilities on March 3, 2023. President Bio, in his statement, said that they had undertaken this investment because they believe it promotes job creation, boosts new growth sectors (tourism),  supports international trade, and attracts new investment streams in other sectors.  The president, on page number 6 of his statement, asked; c. a new Air Traffic Control Tower with ultramodern equipment, ICT infrastructure, and radiotelephony;  d. a new parallel taxiway that connects to the existing runway, with connecting bridges;  h. A 1.5 MW solar farm that supplies green energy to the new airport facility. This is unique in the region.  Further, a tweet shared by Mr Bio on his Twitter page also dispels the suppositions that the new infrastructure is a new airport. The president said, “04/03/2023 was a momentous day for our great nation #SierraLeone. As part of my SLPP Government’s efforts to transform the infrastructural landscape, I opened the new state-of-the-art Freetown International Airport Terminal Building & supporting infrastructure in Lungi, Port Loko.” President Julius Maada Bio, on Friday, March 3, 2023, didn’t commission a ‘brand new’ airport but a new terminal for the existing airport. The project since inception was to expand Lungi airport to include a new and larger terminal and relaying of the runway to accommodate larger and more airlines, in keeping with international standards. ",VERDICT,28/03/2023,https://dubawa.org/president-bio-commissioned-a-new-terminal-not-a-new-airport/
"Claim: The family of Justice Gloria Musu-Scott, in a recent statement, quotes the ruling party Chairman Mulbah Morlu as saying, “their daughter Charloe Musu was killed for ritualistic purposes.”","The murder and armed robbery attacks on the home of Liberia’s former Chief Justice, Gloria Musu-Scott, have been greeted with several accusations, one of which is coming from the family of Justice Scott. Charloe Musu, daughter of Justice Scott, was murdered on the morning of Thursday,  February 23, 2023, at Justice Scott’s residence in Brewville on the outskirt of the city. Other members of the household suffered injuries in the attack. It is not yet clear the motive for the murder and the attack but the news of the murder has since gone viral.   The police have since begun an investigation into the matter. While citizens look forward to a speedy investigation and the arrest of the culprits, there have been some allegations and counter-allegations. One such is from the family of the former Chief Justice.  On March 6, 2023, the family issued a statement accusing the ruling party chairman, Mulbah Morlu, of making statements against the family. The statement partly reads, “On Thursday, March 2, 2023, the chairman of the ruling Coalition for Democratic Change – CDC, Mulbah Morlu, had a Press Conference at the CDC headquarters in Sinkor. It was held immediately after the Liberian Women Sit-in Action in protest at the Legislature on Capitol Hill seat against the murder and assault against the Musu family.” The family statement accused Mr Morlu of saying Charloe was killed for “ritualistic purposes.” The murder of Charloe has triggered widespread, vehement public condemnation in the country.  The institutions and groups that have expressed disdain over the attacks include the Liberia National Bar Association, former Vice President and Standard bearer of the former ruling Unity Party, Joseph Nyuma Boakai. The gravity of the situation involving former Chief Justice Gloria Musu Scott and her daughter’s death and the accusation against the party chairman form the basis for this fact-check. Given the sensitive nature of the claim, DUBAWA decided to contact the family for evidence of its claim against the party chairman. But the family of the former Chief Justice, when contacted for a response, declined to verify the claim as indicated in their Press statement. The Family spokesperson Julius Musu in a telephone conversation with this researcher, said the family would not respond to the inquiry seeking answers over an allegation raised in their most recent release. “All I can tell you is that the matter is before the police, and the family is cooperating, and that is all for now,” Julius Musu said on the phone.    ",Verdict,22/03/2023,https://dubawa.org/false-no-evidence-to-support-ritualistic-claim-against-cdc-chairman-in-charloes-murder/
"CLAIM: Twitter users have shared a video claiming that police officers colluded with PDP thugs and INEC ad-hoc officials to whisk away ballot boxes in ward 20, polling unit 042, Port Harcourt Local Government Area (PHALGA) of Rivers state, during the governorship elections.","CLAIM: Twitter users have shared a video claiming that police officers colluded with PDP thugs and INEC ad-hoc officials to whisk away ballot boxes in ward 20, polling unit 042, Port Harcourt Local Government Area (PHALGA) of Rivers state, during the governorship elections.  Meanwhile, the NFC discovered that voting results from the polling unit had been uploaded on the IReV portal. According to the results, PDP polled 85 votes, LP got six, and Action Democratic Party (ADP) scored four. The Social Democratic Party (SDP) and the Action Party (A) received two votes each. ",INSUFFICIENT-EVIDENCE,21/03/2023,https://dubawa.org/no-evidence-police-colluded-with-thugs-inec-to-disrupt-rivers-state-election/
