Claim,Evidences,Label,Date,Url
"Some blogs and social media users have claimed Former President Olusegun Obasanjo is married to a 22-year-old lady. The articles about the alleged marriage were published alongside the picture of the former president with Cee-C, a reality star.In a post dated December 28, 2021, Heroesghnews, a blog, said “the 86-year-old former president of Nigeria Obasanjo has allegedly just married a 22-year-old girl again.” https://heroesghnews.com/alleged-nigeria-former-president-obasanjos-22yr-old-wife-surface-online/Voice of Africa, a Facebook page with over 26,000 followers, had posted the picture with a caption that reads: “former Nigerian president Obasanjo, at the age of 81, marries 19-year-old girl.” The post has generated over 122 comments, 107 likes and 24 shares. A Twitter user, who identifies as Alistar Chibanda, had also shared the post in 2021, saying that “Obasanjo (86) marries a 24 year old.”Former Nigerian President Obasanjo (86) marries a 24 year old.Grandpa marries granddaughter 🤣 pic.twitter.com/dBfe875Uph— Alistar Chibanda (@alistarchibanda) December 28, 2021","WHO IS THE LADY BESIDE OBASANJO? Cee-C, whose real name is Cynthia Nwadiora, participated in the 2018 edition of the Big Brother Naija reality show. The fashion enthusiast was 25 years old at the time she was featured on the show. Before her stint on the show, the Enugu-born actress had graduated with a law degree from Madonna University in Anambra in 2014. VERIFICATION   First of all, there are inconsistencies with the age of both parties as speculated by the blogs and social media posts.   Cee-C was 29 years old as of the time the picture emerged online.   According to publicly available information, Obasanjo was born in 1937 at Ibogun-Olaogun, Ogun state.    As of 2021, Obasanjo was 84 years old and not 86 as claimed by the blog posts.   The former head of state had married a few times. His ex-wives are Mojisola Adekunle, Stella Abebe, Lynda, and Esther Oluremi. He currently lives in Ogun state with Bola Obasanjo, whom he married in 2009. Now to the origin of the photograph: Cee-C posted the picture on December 13, 2021, saying she had a business meeting with the former president. Corroborating this, Linus Okorie, Nigerian leadership consultant and author, also posted a picture of himself, Nwadiora and the former president, on the same day.   In a now-deleted post, Okorie said the meeting was a preparation for the launch of Guardians of the Nation International (GOTNI ), a nonprofit leadership development organisation. “Had a great meeting today with this great Nigerian. Chief Olusegun Obasanjo our highly respected former president of Nigeria ” he wrote.   “CeeCee a brilliant lawyer and celebrity was a part of the visiting team. Purpose of the meeting loading as GOTNI Leadership Centre prepares for her official launch.” ",misleading,15/04/2022,https://factcheck.thecable.ng/fact-check-did-obasanjo-marry-a-22-year-old-wife/
"A social media post has claimed that David Umahi, governor of Ebonyi, said he would support the secession of the south-east region if President Muhammadu Buhari allows the court to oust him as governor. The post was first published on Tuesday on a Facebook page — Anonymous Voice Television ATV — which has 3,693 followers.The post has so far garnered 222 reactions, 361 comments and 249 shares since it was published.“BREAKING NEWS: If Buhari allows the court to remove me upon all my efforts in keeping the party in the south-east, I will officially support Biafra independent with all I’ve got. Dave Umahi warns APC,” the post reads.BACKGROUND On Tuesday,a federal high court in Abuja ordered the removal of Umahi and Eric Kelechi Igwe, as governor and deputy governor of Ebonyi state, following their defection from the Peoples Democratic Party (PDP) to the All Progressives Congress (APC).Inyang Ekwo, the judge, held that the 393,042 votes polled by Umahi in the 2019 governorship election belonged to the PDP and cannot be legally transferred to the APC.The court equally sacked16 members of the Ebonyi state house of assembly who defected alongside Umahi.Reacting to the judgement, Umahi, in a press conference on Tuesday, said the court ruling directing his removal from office is “null and void” while accusing Ekwo of doing a “hatchet job”.Amid the controversy arising from the judgement, some posts began to circulate on social media claiming the governor made certain comments.","The claim did not indicate when and where the governor made the statement attributed to him. To verify the comment, TheCable reviewed the comments and statements publicly made by Umahi after the ruling of the federal high court.During the press conference held on Tuesday, which can be viewed here,TheCable observed that Umahi did not make any comment about secession.No credible media platform also published the comment credited to the governor.In a statement, Francis Nwaze, the media aide to the governor, said Umahi did not make such a comment.“The fugitive poster also alleged that Governor Umahi threatened to support Biafra agitations if President Muhammadu Buhari allows the court to remove him,” Nwaze said.“Ordinarily, we wouldn’t have bothered responding to the passing parade but it has become expedient we do so to save our teeming supporters from unnecessary panic owing to the senseless propaganda.“First, no such incident happened today as alleged by the poster who is glaringly acting the script of the haters of good governance and nothing would have warranted such development in the first place.”",false,11/03/2022,https://factcheck.thecable.ng/fact-check-did-umahi-say-hell-support-biafra-if-removed-as-governor/
"Dino Melaye, the spokesperson of the Peoples Democratic Party (PDP) presidential campaign council, has shared on Twitter, a video of arrested political thugs.“Killer squad in APC crested cars arrested today by security agencies in Lagos. O ga ooooo,” reads the caption of the tweet.The video was posted on Friday, March 17, 2023, a day before the gubernatorial and state house of assembly elections in the nation.So far, the video tweet has gathered over 386.5k views, 3,017 likes, and 1,385 retweets.Killer squad in Apc crested cars arrested today by security agencies in Lagos. O ga ooooo pic.twitter.com/Pce1iRMnTP— Senator Dino Melaye. (SDM) (@_dinomelaye) March 17, 2023","TheCable subjected the video to analysis on InVID, a verification platform, to ascertain the veracity of the video.Further subjecting the keyframes of the video to Google reverse image search revealed that it has been on YouTube as far back as May 2022.The video was shared by SharaTV on May 29, 2022, with the caption: “Armed Thugs Arrested In Iseyin While Trying To Disrupt APC Oyo North Senatorial Primaries”.A keyword search also led to a news report on Oyoaffairs, published on the same day the video was published on YouTube.According to the news report, operatives of the Oyo state joint security task force, referred to as Operation Burst, apprehended a well-known political thug and his gang in Iseyin, where the All Progressives Congress (APC) primary election for Oyo North Senatorial District held.",misleading,18/03/2023,https://factcheck.thecable.ng/fact-check-video-of-arrested-thugs-shared-by-dino-melaye-is-old/
"A social media post has claimed that the in the last eighteen years, the United States is yet to experience a warming trend.“Zero US warming in 18 years, per US Climate Reference Network temp stations,” reads the caption of the Instagram post.“That’s no US warming despite 30% of total manmade CO2. Emissions-driven warming is a hoax.”The Instagram post was shared on February 27, gathering 437 likes and several comments.“Although no one truly knows the cause, it is undeniable that temperatures have risen over the past 20 years. Look at the temperature records and average snowfall,” reads one of the comments.","Despite the inaccuracy in interpreting the graph sourced from the National Oceanic and Atmospheric Administration (NOAA), a critical look shows an increase in temperature.“As much as I trust the source of the data, the interpretation isn’t correct,” Olusola Ayantobo, a hydro-climatologist and research associate at China’s Tsinghua University, said.TheCable compared annual data from the database of NOAA, which revealed a temperature increase of 0.42 degrees Celsius per decade in the US in the last seventeen years – between 2005 and 2022.The graph shows a temperature increase of 0.42 degrees Celsius per decade in the US between 2005 and 2022.However, experts are of the opinion that more than twenty years of data is needed for accurate climate analysis.“Station data shouldn’t be used to predict climate change conditions over a particular region. Short-term datasets can only be used for weather prediction while a long dataset is appropriate for climate change predictions,” said Ayantobo.In line with the expert opinion that climate analysis requires several years or decades of data, TheCable extended the data analysis to cover a wider time frame by comparing the average temperature between 1901 and 2021, a period of twelve decades.Temperatures in the contiguous 48 states in the US between 1901 and 2021.The outcome of the analysis as shown in the above graph clearly shows the annual average temperatures have changed in the 48 bordering states in the US, since 1901.GLOBAL AVERAGE SURFACE TEMPERATUREApart from the temperature increase in the US, several independent research by experts on surface temperature analysis shows an upward trend in temperature as depicted in the graph below.“Clearly, the earth’s temperature has risen by an average of 0.14° F (0.08° Celsius) per decade since 1880, or about 2° F in total. The rate of warming since 1981 is more than twice as fast: 0.32° F (0.18° C) per decade,” Ayantobo, a climate change expert told TheCable.“Surprisingly last year was the sixth-warmest year on record based on NOAA’s temperature data. The 2022 surface temperature was 1.55 °F (0.86 °Celsius) warmer than the 20th-century average of 57.0 °F (13.9 °C) and 1.90 ˚F (1.06 ˚C) warmer than the pre-industrial period (1880-1900).”EFFECT OF CARBON EMISSION ON GLOBAL WARMINGAlso, the other claim in the Instagram post stating that emissions don’t cause warming is absolutely false. Over the years, increased human activities, essentially the burning of fossil fuels have produced more carbon dioxide (CO2) than natural processes can neutralise or remediate.Increased CO2 has been linked to greenhouse gas which traps heat in the atmosphere and contributes to global warming. With increased warming on the other hand, there is an increase in the rapid melting of sea ice and accelerated rise in sea level, which result in flooding in some cases, and intense heat waves at other times of the year.",false,23/03/2023,https://factcheck.thecable.ng/fact-check-how-true-is-the-claim-that-us-hasnt-warmed-in-18-years/
"A circulating video on social media has claimed that worm-looking creatures fell from the sky in China“The footage shot in Beijing, China of cars covered in worms that fell from the sky has caused social media to assume its clearly the end of time! Everyone at ground zero were simply told to carry an umbrella,” reads the caption of the video shared on Twitter.The tweet was viewed over 20,400 times.The footage shot in Beijing, China of cars covered in worms that fell from the sky has caused social media to assume its clearly the end of time!Everyone at ground zero were simply told to carry an umbrella. 😏#RainOfWorms #China #Worms #Tremors pic.twitter.com/TttuCm2D1j— ∼Marietta (@MariettaDaviz) March 9, 2023The video shows worm-like creatures significantly covering vehicles parked along a street. Bigger versions of the worm-looking substance can also be seen on the road. Also, an individual can be spotted in the video carrying a red umbrella.Checks by TheCable revealed that dozens of Twitter accounts posted the video with similar captions, suggesting that China recorded an incredible rain of worms.The claim also made its way to Facebook and some news platforms.Did China truly experience a rain of worms as claimed, here is what we found.","The plate numbers on the parked vehicles in the video show that the video was truly filmed in the Liaoning province, in northern China.A report published by the United Nations’ Food and Agriculture Organisation, titled – “Poplar Genetic Resources In North China: The Challenge Of Sustainable Forestry” – makes it known that poplar trees are prevalent in the Liaoning province of China.“China has a distinctively rich flora of Salicaceae, and in particular of poplars. Out of more than 100 Populus species reported in the world, 53 have been described to occur in China (Xu, 1988; Zhao & Cheng, 1994), and 37 are distributed in North China,” the UN report reads.A closer look at the video shows that the worm-like figures are static and not moving.TheCabe spoke with Carlyn Yakubu, an agronomist, who said the claimed worms on the car “resemble the flower of a Catkin”.“There are some trees called poplar trees and catkins that are commonly grown in China.“Catkin is a type of compact inflorescence, characterized by apetalous flowers that are clustered in a spiral or whorled arrangement (similar to a warm shape) but not exactly worm.”In April 2021, China Daily, a Chinese newspaper, reported that Beijing municipal government issued a statement warning residents of the catkin forecast.The warning was to prepare residents and “related departments deal with the fuzzy mess and remind the public to take necessary prevention measures.”“Beijing has a long history of planting willow and poplar trees. In the 1960s, the government had limited funding for greening projects in the capital, so the low-cost, fast-growing trees were widely planted,” the 2021 forecast reads.",misleading,24/04/2023,https://factcheck.thecable.ng/fact-check-video-shows-catkins-from-poplar-tree-not-a-rain-of-worms/
"A viral post on social media claims that former president Olusegun Obasanjo said only rigging can stop Peter Obi, presidential candidate of the Labour Party (LP), from winning the presidential election.On Friday, Charles Oputa, also known as Charly Boy, shared the post via his verified Instagram handle.The post quoted Obasanjo as saying that Tinubu sent 78 men to his house in order to convince him to reverse Obi’s endorsement.Oputa’s account has 195,000 followers.“The only thing that can stop Peter Obi from winning the 2023 election is only when they rigged him out, but am here to show the world and Nigerians that once a soldier is always a soldier,” Obasanjo was quoted as saying.“It will be impossible to rig this election under my watch, the history am about to create with Obi will forever be remembered even after am gone, I will bring out my last Strengths and power to safeguard Nigeria thru Obi, it’s no longer Obi but me.“Last few days Tinubu sent 78 men to my house begging me to reverse Obi’s endorsement and turn it to APC, APC a free house where satan makes a decision.“On live TV, Tinubu called me the greatest election rigger in the history of Nigeria, am out to show him that when I started playing politics, he was still busy moving drugs from one country to another.“Tell him that Obasanjo said that Obi is his president and no force in Nigeria can dent that”.Another Instagram handle, @house_ofgist, also posted the claim.Checks on Twitter showed that the claim had been shared as far back as January 11.it's no long Obi but me.Last few days Tinubu sent 78 men to my house begging me to reverse Obi's endorsement and turn it to APC, APC a free house where satan makes a decision.On live television, Tinubu called me the greatest election rigger in the history of Nigeria, am out— De-light (@CHIEFBRYAN01) January 12, 2023Last few days Tinubu sent 78 men to my house begging me to reverse Obi's endorsement and turn it to APC, APC a free house where satan makes a decision.On live TV, Tinubu called me the greatest election rigger in the history of— SonofChuks (@SonofChuks) February 24, 2023about to create with Obi will forever be remembered even after am gone, I will bring out my last Strengths and power to safeguard Nigeria thru Obi, it's no longer Obi but me.Last few days Tinubu sent 78 men to my house begging me to reverse Obi's endorsement and turn it to APC— Uyase Ashua Richard (@UyaseAshua) February 24, 2023Opera News also published the report on its platform, quoting Oputa as the source.A screenshot of the IG post also made it to WhatsApp.","In January, TheCable had reported that Obasanjo endorsed Obi, saying “he has an edge above other contestants”.However, multiple checks showed that the circulating quote attributed to the ex-president was not published on any credible media platforms across the nation.A thorough Google search revealed that no credible news platform attributed the circulating quote to Obasanjo.Meanwhile, TheCable had reported on the importance of verifying reports from social media by confirming if established media platforms have published them.",unproven,25/02/2023,https://factcheck.thecable.ng/fact-check-did-obasanjo-say-only-rigging-will-stop-obi-from-becoming-president/
"A screenshot circulating on WhatsApp claims that former president Olusegun Obasanjo referred to Tinubu, the presidential candidate of the All Progressives Congress (APC), as a thoroughbred politician.“I am not a politician. I am a decorated soldier. I am an army General. If you are looking for a thoroughbred politician in Nigeria, visit Bourdillon Lagos. There, you will find one,” the screenshot partly reads.The WhatsApp post claims that the quote was extracted from the ex-president’s autobiography – My Watch.My Watch is a three-volume memoir, written by Obasanjo. The autobiography, published in 2014, gives a detailed account of his military and political career. It equally touched on some notable national issues.Tinubu lives on Bourdillon Road in Ikoyi, a highbrow area for the Lagos elite.The text in the screenshot further stated that Obasanjo admitted that he almost crumbled Tinubu’s government and state.“I almost crashed his government and state. No governor or government from 1999 till date would have survived what I did to Bola and Lagos. He survived because he has the magic wand and I hope he gets the chance to wave the wand over Nigeria.”","The screenshot is being recirculated mostly on WhatsApp to mislead social media users that Obasanjo has endorsed Tinubu in the ongoing presidential election.In October 2022, Kehinde Akinyemi, Obasanjo’s spokesperson, dismissed the claim that the former president made such remarks about the former governor of Lagos.Obasanjo was quoted to have said: “I cannot disparage my noble profession for politics that has no formal training. This is false and fake.”Obasanjo declared that from his experience, only military-trained personnel were good managers of people.",false,25/02/2023,https://factcheck.thecable.ng/fact-check-did-obasanjo-refer-to-tinubu-as-a-thoroughbred-politician/
"A viral video shared on social media platforms has claimed Bukola Saraki, former senate president, was beaten in the United Kingdom (UK). The video was particularly circulated on Facebook, claiming Nigerians in the diaspora had attacked the former senate president when he went on a shopping spree in the European country.“Bukola Saraki received the beating of his life in the hands of Nigerians in diaspora on the streets of UK. Nemesis has caught up with the shameless rogue,” the caption on the video read.The video, shared by one Joy Ese Joshua on Facebook on March 18, has generated over 400,000 views, 22,000 shares, 2100 comments and 1,600 reactions. In the video, a man was attacked by a mob throwing different objects at him, while he tried to escape from the scene.","The viral video did not indicate when the incident happened and no credible media platform had reported that the former senate president was attacked in the UK.When TheCable subjected the clip to a reverse search, it was discovered that it has been on the Internet since November 2019.Earlier videos posted online indicated that the man in the video is Gentiny Ngobila, the current governor of Kinshasa, capital of the Democratic Republic of the Congo. Ngobila, who seems to bear a close resemblance to Saraki, was said to have been attacked by Congolese citizens while he was on a shopping spree in France.The video also shows the incident did not happen in the UK as claimed. Inscriptions on signposts were written in French while the attackers waived a Congolese flag.",misleading,25/03/2022,https://factcheck.thecable.ng/fact-check-man-beaten-in-viral-video-not-bukola-saraki/
"Dino Melaye, spokesperson of the Atiku Abubakar presidential campaign organisation, in an interview on Channels Television, made claims about late Gani Fawehinmi’s 2003 presidential votes. On August 12, Melaye was a guest on Politics Today, a live interview programme on Channels television. While responding to questions on the increasing popularity of Peter Obi, the presidential candidate of the Labour party, and the political consciousness among the ‘Obidient’ movement, the former senator referred to Obi’s social media popularity as euphoria. Melaye further compared Obi’s popularity to that of Gani Fawehinmi, the late human rights lawyer, who contested and lost the 2003 presidential election. “Gani Fawehinmi once ran for the president of this country. Facebook went agog, at the end of the day, he got 1,400 votes,” Melaye said.","TheCable checked the veracity of the claim that Facebook went agog as a result of Gani Fawehinmi’s candidacy in the 2003 presidential election, and if he truly gathered one thousand, four hundred votes only. An internet search revealed that Facebook, now Meta was founded in February 2004. The social network platform was founded by Mark Zuckerberg while he was a student at Harvard University. With nearly three billion users as of 2021, Facebook is the largest social network in the world. According to ElectionGuide, an online platform with a comprehensive database for elections across the world, Fawehinmi scored 161,333 votes in the 2003 presidential election, while the eventual winner, former President Olusegun Obasanjo, polled 24,456,140 votes.",false,13/08/2022,https://factcheck.thecable.ng/fact-check-did-dino-melaye-get-his-facts-right-about-gani-fawehinmis-2003-votes/
"A social media post claims that masturbation is one of the primary causes of hair loss in men. The post which was originally posted by a Twitter user, Eric @amerix claimed that frequent ejaculation can be responsible for receding hairlines in men. “One of the primary causes of hair loss is masturbation. Indiscriminate ejaculation leads to the intentional loss of vital nutrients responsible for hair growth. Every time you meet a man with a receding hairline, remind him about semen retention,” the tweet reads.One of the primary causes of hair loss is MASTURBATION.Indiscriminate ejaculation leads to the intentional loss of vital nutrients responsible for hair growth.Every time you meet a man with a receding hairline, remind him about semen retention.#BetterTogether— Eric (@amerix) August 23, 2022","The Merriam-Webster dictionary defined masturbation as the erotic stimulation, especially of one’s own genital organs commonly resulting in orgasm.    According to the definition,  masturbation can be achieved by manual or other bodily contacts exclusive of sexual intercourse, by instrumental manipulation, occasionally by sexual fantasies, or by various combinations of these agencies.    The Cable reached out to medical experts to confirm if there is any scientific evidence to back up the claim that masturbation or indiscriminate ejaculation might lead to hair loss.    Best Ordinioha, a professor of public health and community medicine, dismissed the claim, stating that there is no correlation between receding hairline and masturbation.    According to him, the Twitter user probably put out such a post to attract traffic to his page.   “I think he’s just doing scaremongering and this could also lead to stigma to men who are going bald, when people see them, they think that’s what they do,” the professor of medicine said.   “In health sciences, increased testosterone level is responsible for receding hairline, testosterone is the male hormone. However, there is no scientific evidence to back the claim that indiscriminate ejaculation causes baldness.   “Those with higher testosterone levels may have higher sexual drives but this can be modulated and decreased by a lot of factors: stress can make someone impotent, and sex will probably be the last thing on their minds. I think the poster overstretched it.”    POSSIBLE CAUSES OF HAIR LOSS   Francis Agbaraolorunpo, a medical expert at the University of Lagos, said a couple of factors which include, genetics, medical conditions and excessive usage of chemicals can be responsible for hair loss in men, but definitely not masturbation.    “One of the fundamental causes of baldness is genetics, a person is born with the tendency. The other thing is that a person can inherit it from parents,” he said.    “Some persons who have alopecia or debilitating medical conditions such as cancer can also lose their hair. In such situations, a  female can as well experience hair loss.   “If you see a man with a receding hairline, most likely, there is that gene in the family line, it could have been an unexpressed gene, but the person could express it when the gene aligns with certain environmental conditions.”   However, the medical expert emphasised that masturbation is more of a psychological issue and has nothing to do with hair loss or the physical appearance of a man.    He further disclosed that inferiority complex might also be one of the causes of masturbation in men, adding that “it could lead to infertility issues”.   “A man who masturbates and loses sperm frequently might suffer low sperm count when meeting with a woman.”",false,28/08/2022,https://factcheck.thecable.ng/fact-check-does-masturbation-cause-hair-loss-in-men/
