Claim,Label,Evidence,Date,URL
"A video is being shared on social media with the claim it shows youths in northern Nigeria, angry at the outcome of the presidential election, attacking the home of the electoral body’s chairperson, Mahmood Yakubu. But there’s no evidence for this and Inec denies it.",False,"A video shared on Facebook claims that a house in northern Nigeria belonging to Mahmood Yakubu, the chairperson of the country’s electoral body, was attacked by youths.  The video, which lasts 14 seconds, appears to show a group of young people wielding sticks as they enter a compound.  It is captioned: “INEC chairman house under attack by angry northern youths, only them can do this in Nigeria”. The Independent National Electoral Commission, or Inec, is responsible for conducting elections in Nigeria. It is headed by Yakubu. On 1 March 2023, Inec declared Bola Tinubu, the candidate of the ruling All Progressives Congress party, the winner of the 25 February presidential election. But opposition parties have accused Inec of vote rigging, in favour of Tinubu, and demanded Yakubu's resignation. The video was posted on Facebook with the same claim here, here, and here. But was the Inec chairperson’s house attacked? We checked.  ‘Narrative by mischief makers’ says Inec  Inec debunked the claim in a tweet shared on its verified Twitter handle on 25 March. It described the allegation as a “desperate smear campaign”. The commission said the house in the video did not belong to its chair. The statement reads: “This narrative is indeed the latest in the series of desperate smear campaign efforts by mischief makers. The public should disregard it.”",06/04/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/nigerias-electoral-body-says-viral-video-doesnt-show-attack
"Despite persistent rumours on social media, there’s no evidence that the Nigerian electoral commission’s website has been hacked or that the results released by a Russian hacker show Peter Obi of the Labour Party won the February 2023 presidential election.",False,"A claim is circulating on Facebook in Nigeria that a Russian boy has hacked the Independent National Electoral Commission (Inec) website and released “authentic” results which show Peter Obi won the 25 February 2023 Nigerian presidential election. The posts include a photo of a young white man in a suit and read, in part: “The Russian hacker claims he have many Nigerian friends who hoped so much on this election and seeing what INEC is doing promotes him to take action.”  Inec is responsible for conducting elections in Nigeria. Some of the posts include a link to an article published on a suspicious-looking website, which includes the same photo as well as one of Obi and a graph showing the leaked “results”.  Apparently the hacker has revealed that Peter Obi’s Labour Party had 55 million votes, while the Peoples Democratic Party (PDP) had 25 million and the ruling All Progressives Congress (APC) 15 million. Bola Tinubu of the APC was declared the winner of the election on 1 March. Tinubu polled a total of 8,794,726 votes to defeat PDP candidate Atiku Abubakar who had 6,984,520 votes and Obi who had 6,101,533, according to results released by Inec.  Abubakar and Obi are challenging Tinubu’s victory in court. But this viral claim implies Obi actually won the election and Atiku came second, with Tinubu third. The claim was posted on Facebook here, here, here, here and here, and in the form of a video here. But was Inec's website hacked by a “Russian boy”?   ‘No such thing took place,’ says Inec’s press secretary Inec’s chief press secretary, Rotimi Oyekanmi, told Africa Check that the post was “fake news” that originated from “mischief makers”. “No time, either before, during or after the 2023 General Election, were the official Inec website and its Results Viewing Portal hacked by anyone. No such thing took place,” Oyekanmi said. A Google reverse image search revealed the boy in the photo is in-fact Nikolai Desyatnichenko, who was in November 2017 a 16-year-old high school student from Novy Urengoy in Siberia, northern Russia.  He delivered a controversial anti-war speech to the German parliament at the time. This was reported by various international media, including the BBC and the UK’s Times newspaper.  There is no evidence that Inec’s website was hacked or that the boy pictured in the post has said anything relating to Nigeria’s election results.",31/03/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/no-nigerias-electoral-commission-website-was-not-hacked
"The result of Nigeria's presidential election is being challenged in court. But the leader of the Economic Freedom Fighters, Julius Malema, did not suggest the country should break up - a Facebook post to that effect is a fabrication.",False,"Nigerians hate themselves but yet find it difficult to separate peacefully. At least that’s the startling comment attributed to South African opposition leader Julius Malema by a Facebook post. The post claims that Malema also said: “After watching 2023 Nigeria election, I am still wondering the reason Nigeria is still living together as a country.” Malema is the leader of the Economic Freedom Fighters, the second largest opposition party in South Africa. Bola Tinubu was declared the winner of the February 2023 presidential election. He ran on the ticket of the governing All Progressives Congress party.   But the result has been challenged in court by the opposition, a process that could take months to conclude. The country also voted for governors on 18 March 2023. The claim was also shared on other Facebook pages including here, here and here, as well as on Twitter. But has Malema made such strong remarks about the political affairs of another country?  No evidence to support the claim The posts do not give details of where and when Malema made the comments attributed to him. We found no coverage of this in mainstream news outlets. As a public figure with a large following in Africa, such comments by Malema would have been widely reported. A search of Malema’s Instagram account and verified Twitter page shows that he has not commented on the Nigerian election since the presidential vote. The Facebook post attributes fabricated comments to Malema.",30/03/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/no-evidence-south-african-opposition-leader-julius-malema
"An open letter addressed to Bola Tinubu is doing the rounds. But the alleged author died in 2017, so he couldn't have written it in 2023.",False,"A post shared on Facebook claims that Adeyinka Adebayo, the army general who served as the military governor of Nigeria’s western region between 1966 and 1971, has written an open letter to president-elect Bola Tinubu. Tinubu was declared the winner of the February 2023 presidential election on 1 March. He ran on the ticket of the governing All Progressives Congress (APC).   A Facebook search shows that posts about the open letter date back to November 2016. The letter can be read here, here, here, here, here and here. The open letter complains about the state of the “Yoruba nation”, a large ethnic group in southwest Nigeria, and claims that there are no Yoruba stakeholders in the manufacturing industry. “If truth must be told, the Yoruba nation has fared very badly since the advent of our new democracy. And this is not about holding power at the centre,” the letter reads, in part. The letter claims that the internally generated revenue of Lagos state, Nigeria’s commercial capital, would fall by 60% if Igbo people stopped paying taxes. It also urges Tinubu to make it his legacy to build the future of the Yoruba-dominated southwest region. The Igbo, Yoruba and Hausa are the three largest ethnic groups in Nigeria. But did the former military governor write this letter?  No, Adebayo died in 2017 Local media announced Adebayo’s death at the age of 89 in March 2017. So he couldn't have written a letter in 2023. We then checked to confirm that the letter had been written by Adebayo before his death. This led us to a local news platform’s retraction for attributing the letter to the army general in June 2016. We could find no evidence that Adebayo wrote the letter.",30/03/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/no-former-military-governor-did-not-write-message-nigerias
"As the courts examine Bola Tinubu’s electoral win, claims are circulating on social media that the president-elect has said he will work with China if US president Joe Biden doesn’t personally congratulate him. But these claims are false.",False,"Nigeria president-elect Bola Tinubu has said the country would “partner with China” if US president Joe Biden didn’t congratulate him. At least, that’s the claim in a post shared on Facebook in Nigeria.   Tinubu was declared the winner of the February 2023 presidential election on 1 March. He ran on the ticket of the governing All Progressives Congress (APC).   This result has been challenged in court by the opposition. Some world leaders have congratulated Tinubu on his victory, but Biden had yet to do so personally at the time of publishing. The US department of state did congratulate Tinubu and Nigerians. The post claiming to quote Tinubu reads, in part: “I don’t care if USA President Joe Biden congratulates me or not because Nigeria has nothing to benefit from USA … If Joe Biden fails to congratulate me, my government will partner with China.” The same quote appeared on Facebook here, here, here, here and here. But did Tinubu say this?   ‘Complete falsehood,’ says president’s media aide There are no reports in local or international media that Tinubu made the statement attributed to him. If it were true, it would have made headlines. Tinubu's media aide, Tunde Rahman, told Africa Check the statement attributed to the president-elect was “fake news” and a “complete falsehood”. “President-elect Asiwaju Tinubu never said what has been attributed to him. He is too politically astute to speak like that. Those who are familiar with him and his speeches will understand this,” Rahman said. We also asked Festus Keyamo, spokesperson for the APC’s campaign council, about the statement attributed to Tinubu. He said it was “false”.",28/03/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/no-nigerias-president-elect-bola-tinubu-didnt-say-hed-look
"The election in this northeastern state in Nigeria was closely watched, as it could have led to the country’s first elected female governor. But the vote was not called in her favour, as claimed online.",Checked,"Nigeria held elections for governors and state assemblies in 28 states on 18 March 2023. Winners have, at time of writing, been declared in some states, but in others the election was inconclusive or suspended. A claim has appeared online that the All Progressives Congress (APC) governorship candidate, Aishatu Dahiru, popularly known as Binani, had been declared governor-elect in Adamawa state. Adamawa is in the northeastern part of Nigeria.  Dahiru was a sitting senator, representing Adamawa Central. The election in Adamawa was closely contested between the incumbent governor, Ahmadu Fintiri of the Peoples Democratic Party, and Dahiru. Dahiru had a total of 390,275 votes while Fintiri had 421,524 votes. Since Nigeria's return to democracy in 1999, none of the country's states have had a female governor at the helm. As Dahiru ran on the ticket of the APC, the governing party, many hoped she would become the first female governor-elect in Nigeria's history. We found similar claims on Facebook here, here, here and here.  But has Dahiru been declared governor-elect in Adamawa? We checked.  Election inconclusive, Inec says According to a media report, the state collation officer, Prof Mohammed Mele, said elections in 69 polling stations were cancelled, which meant 37,016 eligible voters could not vote, or were disenfranchised. This is significant because, based on the votes that were cast for both parties, Fintiri defeated Dahiru with a margin of 31,249 votes. The returning officer in the state, Prof Andrew Haruna, declared the election inconclusive at a press conference on 20 March. Before making the declaration, Haruna read out the legal position on which the decision was based. Haruna said the election can be declared inconclusive “where the margin of lead between the two leading candidates in an election is not in excess of the total number of voters registered in polling units where elections are not held or voided in line with section 26 and 53 of the electoral act”. The election was declared inconclusive as the number of voters in the affected polling stations was greater than the difference between the two leading candidates. Dahiru has, however, not been declared governor-elect of Adamawa state.",24/03/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/no-first-female-governor-elect-not-declared-nigerias-adamawa
A Nigerian-American professor of history winning a prestigious international prize led to congratulations from prominent politicians. But there’s no evidence to show that Saheed Aderinto welcomed the praise from Peter Obi while snubbing president-elect Bola Tinubu.,False,"Screenshots circulating on Facebook in Nigeria appear to show the winner of an annual prize saying he hopes Nigeria’s president-elect Bola Tinubu will restore the country’s “stolen mandate”, while calling Tinubu’s rival Peter Obi “My President elect”. Prof Saheed Aderinto is a Nigerian-American professor of history and African and African diaspora studies at Florida International University in the United States. He was announced the 2023 winner of the Dan David prize, alongside eight other history scholars, on 28 February. The prize of US$300,000 is awarded annually to nine outstanding contributors to the study of history. The first screenshot posted appears to show a tweet from Nigerian president-elect Bola Tinubu congratulating Aderinto on his achievement, and Aderinto’s reply. It reads: “Thanks anyway for the recognition, I hope you restore Our stolen mandate.” The second screenshot shows a congratulatory tweet by Peter Obi, leader of the Labour Party, to which Aderinto appears to respond “thank you My President elect”. Tinubu was declared winner of Nigeria’s 2023 presidential election by the Independent Electoral Commission on 1 March. His win is being challenged in court by Obi and Atiku Abubakar of the Peoples Democratic Party. These different responses are posted side by side by Facebook users, apparently to show that Aderinto took a swipe at Tinubu and doesn’t support him. The screenshots appear on Facebook here, here and here. But did Aderinto snub Tinubu while calling Obi “my president elect?” We checked.   ‘Not on Twitter’ The screenshots show the replies, supposedly from Aderinto, originating from an account with the handle @Aderinto0 and the professor’s photo as profile picture. But this account doesn’t exist.  And on 13 March Aderinto took to Facebook to say: “I don't have a Twitter account.”  The professor said he “didn't make those statements”. According to a fact-checking report by CDD Fact Check published on 17 March, the account that responded to Tinubu was “a parody account” that changed its username from @Aderinto0 to @ellup81 after the tweets in the screenshot were posted.  Some responses to the tweets in the screenshots link back to @ellup81’s account. But there is no evidence that the history professor Saheed Aderinto might support Obi over Tinubu, or has made any public comment to that effect.",24/03/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/no-us300000-history-prize-winner-saheed-aderinto-didnt-ask
"Did a top Nigerian government official really make sexist remarks about the female candidate vying for the Adamawa state governorship seat? No, a viral tweet with this quote is from a fake account.",False,"“I am now 100% against Binani becoming the Governor of Adamawa as it goes completely against the teachings of Islam,” begins a tweet posted on 20 March 2023. “As much as I would love the people’s choice to prevail, I would pray that the calamity of being led by a woman doesn’t befall the good people of the state,” the tweet concluded. The tweet came from an account called “Boss Mustapha” with the handle @__yellows. Boss Mustapha is the secretary of the federation government. He also headed the presidential task force on Covid-19. Aishatu Ahmed, also known as Binani, is a politician and entrepreneur. She is a senator representing the Adamawa central senatorial district and the chairperson of the senate committee on sustainable development goals. Adamawa state is in northeastern Nigeria. Ahmed ran for governor of the state on the ticket of the ruling All Progressives Congress (APC). She was up against the incumbent governor, Ahmadu Fintiri, who represented the Peoples Democratic Party, among others. Nigeria’s Independent National Electoral Commission has declared the results of the 18 March 2023 election in Adamawa state inconclusive. A screenshot of the tweet has also been posted on Facebook here, here, here, here , here, here, here, here, here, here, and here. But did Mustapha really tweet such a problematic comment?   ‘I don’t operate any Twitter handle’ On 21 March, Mustapha’s media team said in a statement signed by Willie Bassey that the quote circulating on social media was fake. It read:“Mustapha does not own or operate any Twitter handle by such a user name and therefore calls on Nigerians to disregard any negative comments made with such a user name on Twitter.”",24/03/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/no-nigerias-secretary-government-boss-mustapha-didnt-tweet
"As Nigerians vote for governors, claims have been circulated online that a candidate for a seat in the key state of Lagos has been attacked. But the photo used as evidence is six months old.",False,"A photo of Olumide Oworu, the Labour Party candidate for the Lagos State House of Assembly to represent Surulere Constituency I, has been circulating online with the claim that he was injured when thugs attacked his campaign event. Oworu, a 28-year-old actor, is running against the incumbent, an older actor and candidate of the governing All Progressives Congress (APC), Desmond Elliot. Several media reports say that Oworu’s supporters and members of his party were attacked by thugs during a campaign meeting on Thursday, 16 March 2023, two days before the governorship and state assembly election. None of the reports say Oworu was injured in the attack.  But Oworu’s photo, his face bloodied, and his white shirt stained with blood, circulated alongside reports of the attack.  “See what they did to Tari. What the thugs Tinubu and Sanwolu breeds in Lagos did to Tari. See our Tari. My heart is broken for Nigeria. Pls VOTE LP Pls,” reads one of the many tweets accompanying the photo.  Oworu is popularly known as Tari, a role he played in the TV series, The Johnsons. This Twitter user, like many Labour Party supporters, blames the APC and its leaders in Lagos, including former governor Bola Tinubu, who is now president-elect, and incumbent governor Babajide Sanwo-Olu. The photo is also circulating on Facebook with similar claims. See some here, here and here.  But does the photo show Oworu after having been attacked?  Old movie set photo A Google reverse image search led to a post Oworu made on Instagram in October 2022. It’s a post of the exact same photo, apparently taken on a movie set. Oworu posted it on his Instagram page on 3 October 2022, with the caption: “Alagbado John Wick #OnTheEdge”. So the photo is six months old and has nothing to do with the attack on Oworu's campaign. Therefore, the claim that the photo shows the actor bloodied from the attack is false.",18/03/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/nigerias-labour-party-candidate-lagos-assembly-bloodied
"Just days before elections for governor across the country, a memo is circulating on social media in Nigeria with the claim that the Kaduna state government has bribed Muslim clerics. But this an outdated document, with a forged signature.",False,"A message circulating on WhatsApp and Facebook in Nigeria suggests the Kaduna state government disbursed N27 million, over US$40,000, to some Muslim clerics ahead of the elections for governor scheduled to be held on 18 March 2023. Nasir El-Rufai of the ruling All Progressives Congress (APC) is the incumbent governor of Kaduna state in northern Nigeria. In May 2022, he endorsed Uba Sani as his successor. Sani is senator for Kaduna central senatorial district. The message reads: “This is an internal memo from the government of Kaduna. Just see how bigotry has eaten deeply within our political system.  using State funds for religious activities contrary to section 10 of the 1999 Constitutional (as amended).” It includes a screenshot of what appears to be an internal memo from the “office of the director general (interfaith)” and the state secretary’s office.  The memo’s subject line reads: “DISBURSEMENT OF FUNDS TO IMAMS.”  The memo is dated 4 March 2019 and signed by “Muhammed Musa, director general (Interfaith)”. It continues: “The SSG may wish to note that in line with the agreed plan of providing logistics support to Imams of Jumat Mosque towards a favourable Friday sermon the Friday preceding the date of the Gubernatorial election.” But is the memo accurate?  Misleading claim and forged signature The memo is dated 1 March 2019 which makes the post misleading.  In March 2019, the People’s Democratic Party (PDP) accused El-Rufai of bribing Muslim clerics to campaign for the ruling party in mosques across the state.  Musa responded to the PDP’s accusation then. He said “he isn’t the author of the said document”.  He also told a national newspaper that “at no point in time” did he write the letter. Musa told Africa Check that his signature was forged in the 2019 viral letter. This is a forged letter and unrelated to the 2023 elections.",17/03/2023,https://africacheck.org//fact-checks/meta-programme-fact-checks/misleading-post-about-nigerias-kaduna-state-government
