Claim,Evidence,Label,Date,URL
Electoral law says contestants for House of Reps seat has to possess N70 million in cash.,"Checks by the Nigerian Fact-checkers Coalition (NFC) show that the claim is INCORRECT. To understand the legal requirements related to election expenses, we referred to the Electoral Act, 2022. Section 88 (4) of the Act states that: “The maximum amount of election expenses to be incurred by a candidate in respect of Senatorial and House of Representatives seat shall not exceed N100,000,000 and N70,000,000 respectively.” However, the law does not stipulate the nature of these expenses or whether it should be in cash. In addition, we presented Doguwa’s claims to Mr. Rotimi Oyekanmi, Chief Press Secretary to the INEC Chairman, Professor Mahmood Yakubu, and asked for further clarity: “The law does not say a House of Representatives candidate must or should have N70,000,000. No. It only states very clearly that they cannot spend more than N70,000,000 on election expenses. “So, it is not correct for a candidate for the House of Representatives seat to say or insinuate that he or she is expected to have N70,000,000. That’s not what the law says,” Oyekanmi told our fact-checkers.",INCORRECT,17-02-2023,https://factcheckhub.com/does-nigerias-electoral-law-say-a-contestant-for-house-of-reps-seat-must-possess-n70-million-cash/
"Gbadebo Rhodes-Vivour, the governorship candidate of the Labour Party in Lagos state, claimed that in 14 years, Lagos has only been able to construct 16 km of rail.","According to several media reports, President Muhammadu Buhari visited Lagos state to commission 13 kilometres of the first phase of the Lagos Blue Rail Line on January, 24, 2023. The Lagos light rail network was flagged off by the Bola Tinubu administration in 2003. The elevated train network stretches from Marina to Mile 2. According to the state government, the rail line is expected to be 27km at its full development and would have the capacity to transport about 500,000 passengers daily.",INCORRECT,05-02-2023,https://factcheckhub.com/fact-checking-three-lagos-gubernatorial-candidates-at-the-platform-debate/
Peter Obi claimed that over 130 million live in poverty in Nigeria.,"According to a recent report by the National Bureau of Statistics (NBS) on multi-dimensional poverty, about 133 million people in the country, representing 63 per cent of the population, are living in different categories of poverty. The report stated that 65 per cent of the poor (86 million people) live in the North, while 35 per cent (nearly 47 million) live in the South. The National Multi-Dimensional Poverty Index (MPI) report is 0.257, indicating that poor people in Nigeria experience just over one-quarter of all possible deprivations. The report stresses that poverty levels across states vary significantly, with the incidence of multi-dimensional poverty ranging from a low of 27 per cent in Ondo to a high of 91 per cent in Sokoto. According to the report, over half of the population of Nigeria are multi-dimensionally poor and cook with dung, wood or charcoal, rather than with cleaner energy. According to the report, high deprivations are also apparent nationally in sanitation, healthcare, food insecurity, and housing. Accordingly, the incidence of monetary poverty is lower than the incidence of MPI across most states. In Nigeria, 40.1 per cent of people had been deemed poor, according to the 2018/19 national monetary poverty line, but 63 per cent have now been regarded multi-dimensionally poor according to the National MPI 2022.",TRUE,25-11-2022,https://factcheckhub.com/fact-checking-obis-claims-at-the-candidates-presidential-town-hall-series/
Kwankwaso claimed that he never borrowed money when he was governor of Kano state. ,"According to a report by Premium Times, Kano state Commissioner of Information, Mohammed Garba, said that Kwankwaso borrowed N4.161 billion from pensioners’ funds to build Bandirawo and Amana Housing Estates. He added that when the project was completed, the government realized pensioners could not afford housing units in the estates because of the cost. In a Vanguard report in 2021, the former Kano governor was probed by the EFCC for allegedly mismanaging N10 billion in pension remittances between 2011 and 2015.",FALSE,22-11-2022,https://factcheckhub.com/fact-checking-kwankwasos-claims-at-the-candidates-presidential-town-hall-series/
Obasanjo’s administration spent $16 billion dollars on the power sector – Sowore.,"There were allegations that President Olusegun Obasanjo’s administration spent $16 billion on power projects. However, there are no publicly available official records that prove this. Some members of the Obasanjo administration have refuted the claim. Also, a 2017 report on corruption in the power sector by the Socio-Economic Rights and Accountability Project (SERAP) records that Obasanjo’s administration spent $10 billion, not $16 billion on NIPP from the testimony of the former President’s Chief Economic Adviser, Taminu Yakubu, while testifying before the Senate probe committee. Similarly, a breakdown published by the Vanguard shows that the Federal Government released a total sum of N374.65 billion or $2.9 billion to the Ministry of Power between 1999 to 2006 under Obasanjo’s regime. According to the Vanguard, the breakdown was part of the report presented by the former Permanent Secretary, Ministry of Power, Godknows Igali, and the Managing Director, Niger Delta Power Holding Company, NDPHC, James Olotu, before a Senate Ad-hoc Committee probing the power sector from 1999 to 2015.",FALSE,19-11-2022,https://factcheckhub.com/fact-checking-sowores-claims-at-the-candidates-presidential-town-hall-series/
Video shows INEC REC brutalized in Adamawa state.,"Findings by The FactCheckHub show that the claim is FALSE. While the context of the video is yet to be ascertain, The FactCheckHub found out that the man in the video is not the INEC Resident Electoral Commissioner (REC) in Adamawa State but the INEC national commissioner and chairman, board of the Electoral Institute, Abdullahi Abdul Zuru. INEC national commissioner and chairman, board of the Electoral Institute, Abdullahi Zuru. Abdullahi Abdul Zuru is a former vice-chancellor at Usmanu Danfodiyo University, Sokoto. However, the controversial INEC Resident Electoral Commissioner (REC) in Adamawa State is Hudu Ari. Hudu Ari, INEC Resident Electoral Commissioner for Adamawa state.",FALSE,16-04-2023,https://factcheckhub.com/video-does-not-show-inec-rec-for-adamawa-brutalized/
"Money, textile fabrics and foodstuffs were distributed to the electorates in Kebbi state.","Findings by the FactCheckHub show that this claim is TRUE. Two female voters in Saturday’s supplementary elections in Kebbi state have claimed that the All Progressives Congress (APC) gave each of them N3,000, two wrappers and packs of pasta for voting the party, Channels TV reported. The woman who spoke in Hausa language narrated how she was given the items for voting what she described as “the broom” party. She said “the broom” party gave her the same as well as others for voting for them. Daily Trust also reported that at Hisbah office polling unit, Marafa ward, Ubandoma/Takalau in the old town area of Birnin Kebbi, some male voters told journalists that they were given a bag of fertilizer and N200,000 to vote APC, while some said they were given between N30,000 and N40,000 to vote PDP in the governorship election. Other media platforms also reported incidents of voters inducement in the election.",TRUE,16-04-2023,https://factcheckhub.com/claim-that-money-fabrics-and-food-were-shared-at-kebbi-supplementary-election-is-true/
Atiku Abubakar has retired from politics and congratulated  Bola Tinubu.,"Findings by The FactCheckHub revealed that the claim is FALSE. A check on Atiku’s Instagram and Twitter pages show that he did not post such crucial statement on his social media platforms. Further checks revealed that no credible media platform also published the report. The FactCheckHub reached out to Paul Ibe, the spokesperson to Atiku Abubakar, via a telephone call. In his response to our inquiry, he described the claim as “false and a contrived statement of those shopping for validation and congratulations to the flawed and shambolic presidential election.” Ibe also sent a copy of the press release signed by Atiku Abubakar debunking the claim to the The FactCheckHub. The press statement reads thus: PRESS RELEASE I’ll never validate an illegitimate outcome of a flawed process I have been notified of a fake press release attributed to me and purportedly giving legitimacy to the widely rigged presidential election of February 25. The so-called press release did not emanate from me or my office, and it should be treated with repudiation, untrue, and deliberately contrived by those who illegally appropriated the mandate of the Nigerian people. For the avoidance of any doubt, I wish to state categorically that my lawyers still have my unflinching mandate to challenge the outcome of the February 25 presidential election. I join other lovers of democracy in Nigria and friends of our great country in the outright rejection of the pre-determined outcome of the February 25 election. I shall continue to challenge the legality of that election, alongside my party, the Peoples Democratic Party. The decision to challenge the sham election of February 25, the worst election in our democratic history, is not predicated on my personal interest but the interest of Nigeria and its people. It is aimed at deepening democracy and ensuring that we do not confer legitimacy to an outcome of illegitimacy. My commitment to the democratic struggle in Nigeria is beyond an election season. Signed: Atiku Abubakar Presidential candidate of the Peoples Democratic Party and former Vice President of Nigeria, 1999-2007 25th March, 2023",FALSE,09-04-2023,https://factcheckhub.com/false-claim-circulates-that-atiku-is-retiring-from-politics-congratulates-tinubu/
"US criticizes Nigeria’s 2023 presidential election, asks INEC to prove that the declared results are correct.","Findings by The FactCheckHub show that the claim is MISLEADING. Checks revealed that the video was a footage from the conference of National Democratic Coalition (NADECO) – a pro-democracy group – held at the National Press Club, Washington DC in the United States on March 8, 2023. The FactCheckHub found the complete video in which W. Bruce DelValle, the General Counsel of NADECO, criticized INEC for certain issues in the electoral processes that saw Tinubu emerged as Nigeria’s President-elect. However, the stance of the NADECO group doesn’t reflect the stance of the United States Government. The Cable reported that the US State Department had congratulated Tinubu. The Vanguard also reported same.",MISLEADING,09-04-2023,https://factcheckhub.com/no-us-government-did-not-criticize-nigerias-presidential-election/
"Court of Appeal declares Gboyega Oyetola as the winner of July 16, Osun state gubernatorial election.","Findings by The FactCheckHub show that the claim is FALSE. Credible media reports from The ICIR and The Punch show that the Appeal Court sitting in Abuja on Friday (March 24) set aside the judgement of the Osun State Election Petition Tribunal that annulled Adeleke’s victory at the Osun state governorship election held on July 16, 2022. According to the reports, the three-member panel of justices held that the election tribunal erred when it ruled that the 1st and 2nd respondents (Gboyega Oyetola and the All Progressives Congress) proved their allegation of over-voting. The panel of judges therefore upheld the election of Ademola Adeleke as the duly elected governor of Osun State.",FALSE,25-03-2023,https://factcheckhub.com/osun-election-false-claim-circulates-that-gboyega-oyetola-wins-at-appeal-court/
Abdulazeez Olajide Adediran used derogatory words for Gbadebo Rhodes-Vivour.,"Findings by The FactCheckHub show that the claim is FALSE. A Google search using the purported headline as the keywords: “Jandor Tackles Chinedu on Lagos race” didn’t display any result similar to the claim. Screenshot of the viral claim. INSERT: Fake news verdict. Further checks conducted on the image using Google Reverse Image search showed that the image has been debunked. Adediran, the PDP flag-bearer in the state, had via his official Instagram and Facebook pages debunked the claim and distanced himself from the article on the screenshot. His post read thus: “My attention has been drawn to this and I would like to publicly dissociate myself from this post/article as it is fake and intended to pass the wrong information to the public. Neither I nor anyone from my team authorized this.” See his Instagram post below: In addition, the newspaper has also published a report debunking the viral screenshot. The report signed by the newspaper’s Editor read: “Our attention has been drawn to the screenshot of this story purportedly published on our site and being circulated on various platforms. We hereby notify the public that this is FAKE NEWS as it was not published by INDEPENDENT NEWSPAPERS. Please disregard.” Screenshot of the Newspaper’s publication, debunking the article.",FALSE,17-03-2023,https://factcheckhub.com/lagos-guber-poll-false-claim-circulates-that-adediran-used-derogatory-words-for-rhodes-vivour/
Photo shows Sanwo-Olu is now a dispatch rider.,"Findings by The FactCheckHub show that the claim is FALSE. Extensive search led us to the original video which was uploaded on social media by an Instagram user, @asg.me on March 15, 2023. Further checks on the footage revealed that the video is a comedy skit. In the footage, the dispatch rider later removed his helmet which shows that it’s a different person and not Babajide Sanwo-Olu as claimed in several social media posts. The image was taken from the comedy skit.",FALSE,16-03-2023,https://factcheckhub.com/lagos-gubernatorial-doctored-images-of-sanwo-olu-circulate-online/
Photo shows Olumide Oworu after he was attacked by thugs in Lagos.,"A quick check by The FactCheckHub shows that the image has been online more than five months ago. Olumide is a Nigerian actor who has featured on several Nollywood movies and won a number of awards for his roles in various movies. Findings show that the picture in circulation had earlier been uploaded on his Instagram handle with a caption indicating that photo was taken during a movie production. He shared the photo on October 3, 2022 with a caption that reads: Alagbado John Wick. #OntheEdge on his Instagram page. Similarly, the claim that he was attacked by APC thugs could not be independently verified by The FactCheckHub as of the time of filing this report.",MISLEADING,16-03-2023,https://factcheckhub.com/viral-photo-of-bloodied-olumide-oworu-is-not-recent/
