Title,Article,Author,Date,Url
"CLAIM: PDP Presidential Candidate, Atiku Abubakar Retires From Active Politics","Listen to this articleOn Wednesday, March 29, 2023, a Facebook user with the handle Ajisebi Oyo Radio Tv posted on a group page on Facebook named ‘Oyo State Affairs’ that the Presidential candidate for the People Democratic Party in the 2023 general election has retired from active politics.The full text read thus “On behalf of my family, friends, and well-wishers, and in the best interests of Nigerians, and for the betterment of our great party, PDP, and our country, Nigeria, I, ATIKU ABUBAKAR, publicly announce my retirement from active politics. It has been a successful journey for me so far, irrespective of my inability to win the Presidential race of this great nation during my prime in politics, I still thank all Nigerians, and my supporters from other nations who fought the battle with me. This is the end of my political journey, and I wish the present and upcoming leaders of this great nation a successful journey and also advise them to know that leadership tussle is not a do-or-die affair. It is God That enthrones and, as well, dethrones leaders. Moreover, I congratulate the President-elect, ASIWAJU BOLA AHMED TINUBU, and advise him to lead the nation with the fear of Allah. He should shun politics of acrimony and gangsterism. He should sustain the unity that has been existing among us, carry everybody along, and give all Nigerians something to be proud of his administration. Finally, I advise my fellow contestants from other political parties not to seek any court injunction, because I have accepted the defeat in good fate, and also plead fervently with them to follow suit. Long live PDP! Long live Democracy! Long live the Federal Republic of Nigeria! – ATIKU ABUBAKAR”The post has only generated 2 comments, and 5 likes.VERIFICATIONN-VA extracted the claim, “PDP Presidential Candidate, Atiku Abubakar Retires from active politics.” The researcher went on to fact-check and verify the authenticity of these claims.According to a news report published by AIT The People’s Democratic Party, PDP, Presidential candidate, Atiku Abubakar has dismissed the statement as a “fake press release” and that he has not given legitimacy to the “widely rigged presidential election of February 25”.The full text of Abubakar’s press statement read thus: “I have been notified of a fake press release attributed to me and purportedly giving legitimacy to the widely rigged presidential election of February 25. The so-called press release did not emanate from me or my office, and it should be treated with repudiation, untrue, and deliberately contrived by those who illegally appropriated the mandate of the Nigerian people.“For the avoidance of any doubt, I wish to state categorically that my lawyers still have my unflinching mandate to challenge the outcome of the February 25 presidential election. I join other lovers of democracy in Nigeria and friends of our great country in the outright rejection of the pre-determined outcome of the February 25 election.“I shall continue to challenge the legality of that election alongside my party, the Peoples Democratic Party. The decision to challenge the sham election of February 25, the worst election in our democratic history, is not predicated on my personal interest but on the interest of Nigeria and its people. It is aimed at deepening democracy and ensuring that we do not confer legitimacy to an outcome of illegitimacy.“My commitment to the democratic struggle in Nigeria is beyond an election season.Atiku Abubakar, Presidential candidate of the People’s Democratic Party and former Vice President of Nigeria, 1999-2007 25th March 2023.”CONCLUSIONThe claim that Atiku Abubakar has retired from active politics is FALSE.Post navigationCLAIM: All the Leading Candidates in the Just Concluded Presidential Election in Nigeria Promised to Remove Fuel Subsidy",Adeyemi,04/04/2023,https://newsverifierafrica.com/claim-pdp-presidential-candidate-atiku-abubakar-retires-from-active-politics/
CLAIM: All the Leading Candidates in the Just Concluded Presidential Election in Nigeria Promised to Remove Fuel Subsidy,"Listen to this articleOn Wednesday, March 29, 2023, a Twitter user with the handle @OgbeniDipo tweeted that all the leading presidential candidates promised to remove fuel subsidies.Dr. Dipo Awojide popularly known as Ogbeni Dipo made the statement when reacting to a tweet that was tweeted by a sociopolitical activist Deji Adeyanju that the opposition at the 2023 presidential election would have removed subsidies without first fixing the refineries.Comrade, all the leading presidential candidates promised to remove fuel subsidy. It’s not an APC issue. All of them said it openly. https://t.co/lllyKu9jsM— Ogbeni Dipo (@OgbeniDipo) March 29, 2023Adeyaju tweeted that: “Are you ready to buy fuel for N750 per liter? When I told the opposition to unite to stop APC, they didn’t understand but everyone will soon know how far. They kept saying they will reach each other a lesson at the polls. The opposition would never have removed subsidy without first fixing the refineries.”Adeyanju’s tweet has been seen over 83, 000 times on the social media platform and generated 145 comments, 82 retweets, and 215 likes as of the time of filing this report. While Awojide’s reply has been viewed over 82,000 times with 30 comments, 142 retweets and 412 likes as of the time of writing this report.VERIFICATIONN-VA extracted the claim, “All the Leading Candidates in the Just Concluded Presidential Election in Nigeria Promised to Remove Fuel Subsidy.” The researcher went on to fact-check and verify the authenticity of these claims.According to a report published by PUNCH, Channels, Nairametrics, Business Post, and Premium Times, the presidential candidate of the Labour Party, Peter Obi who is one of the leading presidential candidates promised to remove fuel subsidy in an Interview with Arise TV.Watch this video on YouTubeObi said the money spent on fuel subsidy would be channeled to other sectors of the economy.According to the news report published by The Cable, Business Day, This Day, and Punch, the presidential candidate for the People’s Democratic Party, PDP, Atiku Abubakar promised to remove the fuel subsidy.On Tuesday, November 15, 2022, while speaking on a range of economic issues in Nigeria, as well as his recovery plan for the country if elected president at the Lagos Business School 2022 alumni day, Abubakar described the controversial petrol subsidy as a “fraud” and pledged to scrap it.“I was the chairman for the removal of the fuel subsidy committee and I recall how we removed phase 1 and phase 2 of the fuel subsidy. I will continue from where we stopped, remove fuel subsidy totally and channel the subsidy funds back into the economy. In other words, it’s just a fraud,” he said.Also, it was discovered in a news published by Reuters, This Day, and The Cable that the President-Elect in the just concluded 2023 general election, Bola Ahmed Tinubu of the All Progressive Congress (APC) vowed to remove fuel subsidy.Tinubu promised to remove fuel subsidy if elected as the president of Nigeria, adding that his government would ramp up oil production and deregulate midstream gas prices within six months.Moreover, the presidential candidate of the New Nigeria Peoples Party (NNPP), Rabiu Musa Kwankwaso, also promised to stop persistent fuel subsidy, if elected the next president of Nigeria in a news story published by The Guardian.CONCLUSIONThe claim that all the leading presidential candidates in the just concluded election promised to remove fuel subsidy is TRUE.Post navigationCLAIM: President Muhammadu Buhari’s Administration Acquires New Fighter Helicopters for the Nigerian Air Force  CLAIM: PDP Presidential Candidate, Atiku Abubakar Retires From Active Politics",Adeyemi,03/04/2023,https://newsverifierafrica.com/claim-all-the-leading-candidates-in-the-just-concluded-presidential-election-in-nigeria-promised-to-remove-fuel-subsidy/
CLAIM: President Muhammadu Buhari’s Administration Acquires New Fighter Helicopters for the Nigerian Air Force,"Listen to this articleOn Monday, March 27, 2023, a Facebook User with the name Ajoke Omotunde Omotosho posted that President Muhammadu Buhari’s Administration has acquired new fighter helicopters for the Nigerian Air Force.The full text read thus: “BOOM President Muhammadu Buhari’s Administration Takes Its Military Investments To A New Level By Its Recent Acquisition Of A Number Of Wing Loong II UCAG And T-129 Fighter Helicopters For The Nigerian Airforce. May Nigeria Succeed.”The Facebook post has generated 6 reactions since it was posted.VERIFICATIONN-VA extracted the claim, “President Muhammadu Buhari’s Administration has acquire new fighter helicopters for the Nigerian Air Force.”The researcher went on to fact-check and verify the authenticity of these claims.Findings revealed that a report published by Taskar Labarai on March 27, 2023, titled “THE ACQUISITION OF 3 WING LOONG II UCAV AND T-129 FIGHTER HELICOPTERS FOR THE AIR FORCE!,” stated that the Buhari administration has taken its military investments to a new level by its recent acquisition of a number of Wing Loong II UCAV and T-129 fighter helicopters for the Nigerian Air Force, an image of an aircraft was attached to the body of the story.The article said further that the Wing Loong II UCAV are ordered from China, while the T-129 are from the United States of America, and they are expected to arrive the shores of Nigeria at the end of March 2023, after which they will be commissioned.The researcher used a reverse image search, Tin Eye, to check the authenticity of the image attached to the post and it was revealed that the image has been on the internet for ten years. The search results found 95 similar images that have been used on the internet over the years.The exact image first appeared on the internet on March 29, 2013, on Pakistan Defence Website and has been used on various websites and blogs.Also, another image attached to the claim was searched for using TinEye. Results revealed that the image was first posted on the United Press International website on February 9, 2016, and has a Turkish flag painted on the tail end of the helo. Also, a video file of the same helicopter with the same background was posted in 2022, showing the T129 ATAK helicopter in action.Tineye further revealed during the search for the last image on the claim that the picture has been on the internet since October 4, 2020.However, a Twitter page with the username @DefenseNigeria which is a trusted platform for military and defense news in Nigeria revealed in a tweet thread posted on January 22, 2023, that, “the NAF to take delivery of three Wing Loong II UCAV and six T-129 Atak helicopters before the end of the first quarter of 2023.”The Twitter post shared the information using similar pictures as the one used on the Facebook post being fact-checked.The Twitter user also revealed in a Twitter thread posted on March 28 that the NAF will take delivery of 50 aircraft sometime this year including six T-129 attack helicopters and 3 Wing Loong II unmanned combat aerial vehicles (UCAVs).CONCLUSION The claim that President Muhammadu Buhari’s Administration has acquired new fighter helicopters for the Nigerian Air Force is True but the images used as an illustration in the claim are Misleading.Post navigationFact-checking claims on Religious affiliation of Nigerian leaders and political appointees  CLAIM: All the Leading Candidates in the Just Concluded Presidential Election in Nigeria Promised to Remove Fuel Subsidy",Adeyemi,30/03/2023,https://newsverifierafrica.com/claim-president-muhammadu-buharis-administration-acquires-new-fighter-helicopters-for-the-nigerian-air-force/
Fact-checking claims on Religious affiliation of Nigerian leaders and political appointees,"Listen to this articleOlakunle MohammedOn March 24, a Twitter user with the handle @RealOlaudah shared a post listing the top positions in Nigeria’s government and head of agencies, departments and parastatals. He claimed that there all the 29 posts listed in his Twitter thread were all occupied by Muslims.As of the time of filing this report, the first post in the thread has garnered 638,000 views with 3,279 retweets, 261 quotes, 6,827 likes and 261 bookmarks. President: MuslimSP: MuslimSpeaker HOR: MuslimCJN: MuslimAPC Chair: Muslim COS: Muslim SFG: Muslim DG DSS: Muslim CG Customs: Muslim CG Immigration: Muslim IGP: Muslim COAS: Muslim CNS: Muslim COAIRS: Muslim GMD NNPC: MuslimCG NSCDC :MuslimNigeria we hail thee.🥲— Olaudah Equiano® (@RealOlaudah) March 24, 2023The fact-checker extracted the claims contained in the Twitter thread and went on to verify its authenticity.Substitutes on the benchEFCC Chairman: MuslimNPA MD: MuslimFRSC Chair: Muslim NIMASA DG: MuslimNTA DG: Muslim FRCN DG: Muslim PENCOM MD: MuslimFCDA DG: MuslimINEC Chair: MuslimFIRS Chair: MuslimRMRDC DG: Muslim SON DG: MuslimPPMC MD: MuslimETC, ETC, ETC.— Olaudah Equiano® (@RealOlaudah) March 24, 2023VERIFICATIONIS NIGERIA’S PRESIDENT A MUSLIM?The post claimed that President Muhammadu Buhari is a Muslim. Checks by the researcher revealed that Buhari is a Muslim, according to his profile on Wikipedia.VERDICT: The claim that President Buhari is a Muslim is TRUE.IS NIGERIA’S SENATE PRESIDENT (SP) A MUSLIM?The post claimed that current President of Nigerian Senate, Dr. Ahmed Ibrahim Lawan is a Muslim. Checks by the researcher revealed that Lawan is a practicing Muslim. VERDICT: The claim that the current President of the Nigerian Senate is a Muslim is TRUE.IS NIGERIA’S SPEAKER OF THE HOUSE OF REPRESENTATIVES (HOR) A MUSLIM?The post claimed that current speaker of the House of Representatives, Mr. Olufemi Hakeem Gbajabiamila is a Muslim. Checks by the researcher revealed that Gbajabiamila is a practicing Muslim.VERDICT: The claim that the current Speaker of the House of Representatives is a Muslim is TRUE.IS THE CHIEF JUSTICE OF NIGERIA (CJN) A MUSLIM?The post claimed that current CJN, Justice Olukayode Tajudeen Ariwoola is a Muslim. Checks by the researcher revealed that Justice Ariwoola is a practicing Muslim.VERDICT: The claim that the current CJN is a Muslim is TRUE.IS THE CHAIRMAN OF THE ALL PROGRESSIVES CONGRESS (APC) A MUSLIM?The post claimed that the current chairman of the APC, Abdullahi Adamu is a Muslim. Checks by the researcher revealed that Adamu is a Muslim.VERDICT: The claim that the current chairman of APC is a Muslim is TRUE.IS THE PRESIDENT’S CHIEF OF STAFF (COS) A MUSLIM?The post claimed that the current COS, Professor Ibrahim Agboola Gambari is a Muslim. Checks by the researcher revealed that Gambari is a Muslim.VERDICT: The claim that the current COS is a Muslim is TRUE.IS THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION (SGF) OF NIGERIA A MUSLIM?The post claimed that the current SGF, Mr. Boss Gidahyelda Mustapha is a Muslim. However, checks by the researcher revealed that Mustapha is a born-again Christian.VERDICT: The claim that the current SGF is a Muslim is FALSE.IS THE DIRECTOR GENERAL (DG) OF THE DEPARTMENT OF STATE SERVICES (DSS) A MUSLIM?The post claimed that the current DG of DSS, Mr. Yusuf Magaji Bichi is a Muslim. Checks by the researcher revealed that Bichi is a Muslim.VERDICT: The claim that the current DG of the DSS is a Muslim is TRUE.IS THE COMPTROLLER-GENERAL (CG) OF THE NIGERIA CUSTOMS SERVICE (NCS) A MUSLIM?The post claimed that the current CG of Customs, Col. Hameed Ibrahim Ali (Rtd) is a Muslim. Checks by the researcher revealed that Ali is a Muslim.VERDICT: The claim that the current CG of Customs is a Muslim is TRUE.IS THE COMPTROLLER-GENERAL (CG) OF THE NIGERIA IMMIGRATION SERVICE (NIS) A MUSLIM?The post claimed that the current CG of Customs, Alhaji Isah Jere Idris is a Muslim. Checks by the researcher revealed that Idris is a practicing Muslim. This is succinctly depicted in his use of the title, Alhaji, a common moniker for a Muslim who has been to Mecca as a pilgrim.VERDICT: The claim that the current CG of Immigration is a Muslim is TRUE.IS THE INSPECTOR GENERAL OF POLICE (IGP) OF NIGERIA A MUSLIM?The post claimed that the current IGP, Usman Alkali Baba is a Muslim. Checks by the researcher revealed that Alkali Baba is a practicing Muslim.VERDICT: The claim that the current IGP is a Muslim is TRUE.IS THE CHIEF OF ARMY STAFF (COAS) A MUSLIM?The post claimed that the current COAS, Lieutenant General Farouk Yahaya is a Muslim. Checks by the researcher revealed that Yahaya is a Muslim.VERDICT: The claim that the current COAS is a Muslim is TRUE.IS THE CHIEF OF NAVAL STAFF (CNS) A MUSLIM?The post claimed that the current CNS, Vice Admiral Awwal Zubairu Gambo is a Muslim. Checks by the researcher revealed that Gambo is a devoted Muslim.VERDICT: The claim that the current CNS is a Muslim is TRUE.IS THE CHIEF OF AIR STAFF (CAS) A MUSLIM?The post claimed that the current CAS, Air Marshal Isiaka Oladayo Amao is a Muslim. Checks by the researcher revealed that Amao is a Christian.VERDICT: The claim that the current CAS is a Muslim is FALSE.IS THE GROUP MANAGING DIRECTOR (GMD)OF THE NIGERIAN NATIONAL PETROLEUM CORPORATION (NNPC) LIMITED A MUSLIM?The post claimed that the current GMD of NNPC Ltd., Mele Kolo Kyari is a Muslim. Checks by the researcher revealed that Kyari is a Muslim.VERDICT: The claim that the current GMD of NNPC Ltd. is a Muslim is TRUE.IS THE COMMANDANT-GENERAL (CG) OF NIGERIA SECURITY AND CIVIL DEFENCE CORPS (NSCDC) A MUSLIM?The post claimed that the current CG of NSCDC, Dr Ahmed Abubakar Audi is a Muslim. Checks by the researcher revealed that Audi is a Muslim.VERDICT: The claim that the current CG of the NSCDC is a Muslim is TRUE.IS THE CHAIRMAN OF THE ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC) A MUSLIM?The post claimed that the current chairman of EFCC, Abdulrasheed Bawa is a Muslim. Checks by the researcher revealed that Bawa is a Muslim.VERDICT: The claim that the current chairman of the EFCC is a Muslim is TRUE.IS THE MANAGING DIRECTOR (MD) OF THE NIGERIAN PORTS AUTHORITY (NPA) A MUSLIM?The post claimed that the current MD of NPA, Mohammed Bello-Koko is a Muslim. Checks by the researcher revealed that Bello-Koko is a Muslim.VERDICT: The claim that the current MD of NPA is a Muslim is TRUE.IS THE CORP MARSHAL OF THE FEDERAL ROAD SAFETY CORPS (FRSC) A MUSLIM?The post claimed that the current corp marshal of FRSC, Dauda Ali Biu is a Muslim. Checks by the researcher revealed that Biu is a Muslim.VERDICT: The claim that the current corp marshal of the FRSC is a Muslim is TRUE.IS THE DIRECTOR GENERAL (DG) OF THE NIGERIAN MARITIME ADMINISTRATION AND SAFETY AGENCY (NIMASA) A MUSLIM?The post claimed that the current DG of NIMASA, Dr. Bashir Yusuf Jamoh is a Muslim. Checks by the researcher revealed that Jamoh is a Muslim.VERDICT: The claim that the current DG of NIMASA is a Muslim is TRUE.IS THE DIRECTOR GENERAL (DG) OF THE NIGERIAN TELEVISION AUTHORITY (NTA) A MUSLIM?The post claimed that the current DG of NTA, Mr. Salihu Abdulhamid Dembos is a Muslim. Checks by the researcher revealed that Dembos is a Muslim.VERDICT: The claim that the current DG of NTA is a Muslim is TRUE.IS THE DIRECTOR GENERAL (DG) OF THE FEDERAL RADIO CORPORATION OF NIGERIA (FRCN) A MUSLIM?The post claimed that the current DG of FRCN, Dr. Mansur Liman is a Muslim. Checks by the researcher revealed that Liman is a Muslim.VERDICT: The claim that the current DG of FRCN is a Muslim is TRUE.IS THE DIRECTOR GENERAL (DG) OF THE NATIONAL PENSION COMMISSION (PENCOM) A MUSLIM?The post claimed that the current DG of PenCom, Hajiya Aisha Dahir-Umar is a Muslim. Checks by the researcher revealed that Dahir-Umar is a Muslim.It is worthy to note that the PenCom has a DG not a Managing Director as claimed by the Twitter user.VERDICT: The claim that the current DG of PenCom is a Muslim is TRUE.IS THE EXECUTIVE SECRETARY OF THE FEDERAL CAPITAL DEVELOPMENT AUTHORITY (FCDA) A MUSLIM?The post claimed that the current DG of FCDA is a Muslim. However, the FCDA has an Executive Secretary.The current Executive Secretary of the FCDA is Engr. Shehu Hadi Ahmad. Checks by the researcher revealed that Ahmad is a Muslim.VERDICT: The claim that the current executive secretary of FCDA is a Muslim is TRUE.IS THE CHAIRMAN OF THE INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC) A MUSLIM?The post claimed that the current chairman of INEC, Prof. Mahmood Yakubu is a Muslim. Checks by the researcher revealed that Yakubu is a Muslim. VERDICT: The claim that the current chairman of INEC is a Muslim is TRUE.IS THE CHAIRMAN OF THE FEDERAL INLAND REVENUE SERVICE (FIRS) A MUSLIM?The post claimed that the current chairman of FIRS, Mr. Muhammad Mamman Nami is a Muslim. Checks by the researcher revealed that Nami is a Muslim.VERDICT: The claim that the current chairman of FIRS is a Muslim is TRUE.IS THE DIRECTOR-GENERAL (DG) OF THE RAW MATERIALS RESEARCH AND DEVELOPMENT (RMRDC) A MUSLIM?The post claimed that the current DG of RMRDC, Mr. Ibrahim Hussaini Doko is a Muslim. Checks by the researcher revealed that Doko is a Muslim.VERDICT: The claim that the current DG of RMRDC is a Muslim is TRUE.IS THE DIRECTOR-GENERAL (DG) OF THE STANDARD ORGANISATION OF NIGERIA (SON) A MUSLIM?The post claimed that the current DG of SON, Mr. Farouk A. Salim is a Muslim. Checks by the researcher revealed that Salim is a Muslim.VERDICT: The claim that the current DG of SON is a Muslim is TRUE.IS THE MANAGING DIRECTOR (MD) OF THE PIPELINES AND PRODUCTS MARKETING COMPANY LIMITED (PPMC) A MUSLIM?The post claimed that the current MD of PPMC, Mr. Isiyaku Abdullahi is a Muslim. Checks by the researcher revealed that Salim is a Muslim.VERDICT: The claim that the current MD of PPMC is a Muslim is TRUE.In a country with 50% Christian population? Meanwhile your Christian leaders are mute and your Daddy GO is 'neutral'. If an APC Muslim/Christian ticket can be this islamized, how will their Muslim/Muslim ticket be? Pray for christians in Nigeria. 🙏🏾— Olaudah Equiano® (@RealOlaudah) March 24, 2023DOES NIGERIA HAVE 50 PERCENT CHRISTIAN POPULATION?The twitter user claimed in the thread that Nigeria has a fifty percent christian population. The tweet reads in part: “In a country with 50% Christian population?”However, checks by the researcher revealed that the Pew Research Centre pegged the percentage of Christians in Nigeria at 48.1 percent, as of 2015. While the distribution of religions in Nigeria 2018 data by Statista found that Christian religion makes up a total of 45.9 percent.The countries with the 10 largest Christian populations and the 10 largest Muslim populationsVERDICT: The claim that Nigeria has a 50 percent christian population is MISLEADING as the current percentage is between 46-48 percent.VERDICTThe claims contained in the Twitter thread are mostly true except for the claims on the religious affiliation of the SGF and CAS which are false and the percentage of the Christian population whichismisleading.Post navigationCLAIM: Abia State Had No Permanent Government House Since 1999  CLAIM: President Muhammadu Buhari’s Administration Acquires New Fighter Helicopters for the Nigerian Air Force",Olakunle,30/03/2023,https://newsverifierafrica.com/fact-checking-claims-on-religious-affiliation-of-nigerian-leaders-and-political-appointees/
CLAIM: Abia State Had No Permanent Government House Since 1999,"Listen to this articleOn Friday, March 24, 2023, a Twitter User with the handle @Buchyogba tweeted that Abia state does not have a government house.The full text read thus: “Dr Alex Otti may likely operate from his private house in Isialangwa after inauguration on May 29, 2023 since Abia State does not have a government house since 1999. @OfficialPDPNig was evil in every ramification.”The tweet has been seen over 482,000 times on the social media platform and generated 181 comments, 398 retweets, 288 quote tweets and 849 likes.VERIFICATIONN-VA extracted the claim, “Abia State has no permanent government house since 1999.” The researcher went on to fact-check and verify the authenticity of these claims.According to a report published by Daily Trust on May 30, 2021 titled “30 years after, Abia govt house still in ‘rented’ quarters,” detailed how the government house is still in rented quarters.The article traced the history of the southeast state still having no permanent Government House, 30 years after its creation.Though the permanent government house is under construction in Ogurube Layout and has reached an advanced stage of completion. However, it could not be verified if the construction will be completed before Governor-elect, Alex Otti, will be sworn-in on May 29.CONCLUSIONThe claim that Abia State has no permanent government house since 1999 is TRUE.Post navigationCLAIM: Bauchi State Commissioner Caught on Camera Buying Votes on Election Day  Fact-checking claims on Religious affiliation of Nigerian leaders and political appointees",Adeyemi,27/03/2023,https://newsverifierafrica.com/claim-abia-state-had-no-permanent-government-house-since-1999/
CLAIM: Bauchi State Commissioner Caught on Camera Buying Votes on Election Day,"Listen to this articleAbidemi KajogbolaOn Saturday, March 18, 2023, a twitter post show a video of a man sharing money to women.The video is purported to have shown the Bauchi state Commissioner for Youth and sport, Alhaji Adamu Manu Soro, sharing money to women.An instagram post by Chief Dele Momodu (@delemomoduovation) also shared the same post , while an Instagram post with the caption “it does not matter when, where and which political party is involved, this is no democracy, also reposted the video.” The instagram post has generated over 56,000 views, 211 comments and 799 likes as of the time of filing this report.VERIFICATIONTo verify the authenticity of the video clip, it was analysed using Deepware. Findings from the AI software revealed that the video is clean and has not been doctored or tampered with.Also, the researcher compared the image of the man sharing money in the video to that of Alhaji Soro, findings revealed that they do not look alike.A further look revealed that police officers in the video are fully dressed in combat uniform and are carrying guns, however security personnel are not allowed to carry firearms at polling centres during the elections in Nigeria. This is a directive by successive Inspector General of Police (IGP) in Nigeria to de-criminalise elections.The IGP also restricted security aides and escorts from accompanying their principals and politicians to polling booths and collation centres during the elections.Meanwhile, Soro has denied being the one in the viral video clip. The state commissioner disclaimed the video in an interview with journalist in Bauchi. He declared that he was not the one in the video clip and threatened legal action against imposters.CONCLUSIONThe video circulating with the claim that Bauchi commissioner was caught on camera buying votes on election day is FALSE.Kajogbola is a volunteer on the N-VA Facts Inclusive Project, funded by the ICFJ.Post navigationHighlights of Fact-checks across Africa from March 20 to March 25  CLAIM: Abia State Had No Permanent Government House Since 1999",Admin,25/03/2023,https://newsverifierafrica.com/claim-bauchi-state-commissioner-caught-on-camera-buying-votes-on-election-day/
"CLAIM: Since 1999, Any Candidate Who Won Kwara State Won the Presidential Election","Listen to this articleOn Wednesday, March 1, 2023, a media outlet named Pulse Nigeria 247 shared a picture on its Instagram page, stating that ‘Since 1999, any candidate who won Kwara State won the presidential election.’In the graphic shared was the name of past presidents, the year, and total number of votes they got from Kwara State.The post had generated 246 comments and liked by 6655 users by March 2, 2023A Screenshot of the post made by Pulse Nigeria 237 on InstagramIn 1999 and 2003 Olusegun Obasanjo has 470, 510, and 390,800 respectively. Goodluck Jonathan had 268, 243. In 2015 and 2019 President Muhammadu Buhari had 302, 146, and 308, 984 respectively. The new President-Elect, Bola Tinubu had 263, 572 in the just concluded general election.POTENTIAL IMPACT OF THE CLAIMIf this claim is true, it would suggest that Kwara State is a key indicator of the outcome of the presidential election in Nigeria.It could shape the strategies of political parties and candidates in future elections. For example, if a candidate believes that winning Kwara State is crucial to winning the presidential election, they may focus more resources and attention on campaigning in that state.CLAIMN-VA extracted the claim; “Since 1999, ANY CANDIDATE who won Kwara State won the presidential election” The researcher went on to fact-check and verify the authenticity of these claims.VERIFICATIONAccording to data retrieved from Electoral Geography, a constituent component of political geography, a science which studies development of all political processes inside geographical space.In 1999 and 2003 the former president of Nigeria, Olusegun Obasanjo won the two elections by having 470, 510 (71.3%) and 390, 800 (68.0%) votes in Kwara State respectively in those years.In 2011, Goodluck Jonathan won Buhari with 64.68% votes in Kwara State.In 2015 and 2019 the incumbent president of Nigeria, Muhammadu Buhari won both elections after having 302146 (68.66%) and 308,984 votes in Kwara State respectively.Graphic shared by Pulse Nigeria 247 on InstagramAlso, the recent president-elect in just concluded the 2023 presidential election, Bola Tinubu emerge as the winner after securing 263,572 votes in Kwara State.However, according to a report published by The Cable with the title “INCREDIBLE: INEC does NOT have full official results of 2007 presidential election” The Independent National Electoral Commission (INEC) does not have the full results of the highly controversial 2007 presidential election.The presidential election held on April 21, 2007, is the first and only in Nigeria’s history in which there is no state-by-state breakdown of the candidates’ scores.Maurice Iwu, a professor and INEC chairman at the time, declared Umaru Musa Yar’Adau of the Peoples Democratic Party (PDP) with a figure of 24,638,063 votes without giving the details.Hence, it could not be determined if ex-president Umaru Musa Yar’adua won Kwara State for that election year. Also, Pulse NG did not make reference to the 2007 election in the Instagram postVERDICTThe claim that since 1999, any candidate who won Kwara State won the presidential election is MOSTLY TRUEPost navigationCLAIM: Abuja PDP Chairman Dies on Election Day  CLAIM: Bauchi State Commissioner Caught on Camera Buying Votes on Election Day",Adeyemi,02/03/2023,https://newsverifierafrica.com/claim-since-1999-any-candidate-who-won-kwara-state-won-the-presidential-election/
CLAIM: Abuja PDP Chairman Dies on Election Day,"Listen to this articleToday February 25, 2023, Within Nigeria published a news article crawled onto the Phoenix Browser app titled “Abuja PDP chairman dies on Election Day.”The news read thus “The People’s Democratic Party, PDP, Chairman in the Federal Capital Territory, FCT Abuja, Sunday Zaka has reportedly passed away. According to the media report, Zaka, who is popularly known as HIV, died at about 3 am on Saturday in a fatal accident while on his way to his residence in Kuje. He died alongside his personal security after some party activities at the city center. The family is yet to confirm the unfortunate incident but a chieftain of the party, Michael Kpatuba broke the news via a post on his Facebook page on Saturday morning. “Dying Election day is really heartbroken to the FCT, PDP family. “Rest in peace, Hon Zaka Sunday, FCT PDP Chairman”, the post read.POTENTIAL IMPACT OF THE CLAIMThe death of a political party chairman on Election Day can have a significant impact on the political landscape of the region. The news of the death of a political party chairman on Election Day can also affect public perception of the party and its candidates. This event could also affect voter turnout in the region on said Election Day.CLAIMN-VA extracted the claims, “Abuja PDP chairman dies on Election Day” The researcher went on to fact-check and verify the authenticity of the claim.VERIFICATIONAccording to a PDP member who confirmed the incident to TheCable, Zakka was on his way to Kuje, his hometown, in preparation for Saturday’s presidential and national assembly elections when the accident occurred. He was said to have died alongside his security aide.The Cable reported that the accident occurred along the Nnamdi Azikiwe International Airport-Kuje Road in Abuja, and it was caused by speed violation, which led to loss of control, according to Bisi Kazeem, the public education officer of the Federal Road Safety Corps (FRSC). The deceased victims were taken to the National Hospital in Abuja by their relatives before the arrival of the FRSC team.VERDICTThe claim that “Abuja PDP chairman dies on Election Day” is TRUE.Post navigationCLAIM: Army Guns Down Boys trying to scatter the election  CLAIM: Since 1999, Any Candidate Who Won Kwara State Won the Presidential Election",Adeyemi,25/02/2023,https://newsverifierafrica.com/claim-abuja-pdp-chairman-dies-on-election-day/
CLAIM: Army Guns Down Boys trying to scatter the election,Listen to this articlePost navigationCLAIM: EFCC Storms Bola Ahmed Tinubu’s Polling Unit  CLAIM: Abuja PDP Chairman Dies on Election Day,Olakunle,25/02/2023,https://newsverifierafrica.com/claim-army-guns-down-boys-trying-to-scatter-the-election/
CLAIM: EFCC Storms Bola Ahmed Tinubu’s Polling Unit,"Listen to this articlePost navigationCLAIM: Governor Seyi Makinde Campaigns for Presidential Candidate, Bola Ahmed Tinubu  CLAIM: Army Guns Down Boys trying to scatter the election",Olakunle,25/02/2023,https://newsverifierafrica.com/claim-efcc-storms-bola-ahmed-tinubus-polling-unit/
