ev,label,probFalseZS,probTrueZS,emotion_max,category_max,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,neutral,optimism,pride,realization,relief,remorse,sadness,surprise,black,christian,female,homosexual_gay_or_lesbian,identity_attack,insult,jewish,male,muslim,obscene,psychiatric_or_mental_illness,severe_toxicity,sexual_explicit,threat,toxicity,white,Campaign strategies,Election administration,Voter registration,Voter turnout,Women in politics
"[ 0.10537341 -0.23315449  0.00720074  0.02042594  0.15773178  0.038762
  0.09714439  0.01374773 -0.03663431 -0.01189255  0.02142413 -0.0320553
 -0.06855927  0.01013099 -0.0136706   0.01996724 -0.01035684 -0.00621613
 -0.03049834  0.0079296  -0.02937705 -0.0324297   0.01137908  0.04671217
 -0.05715445 -0.03523457 -0.00770874 -0.01858058 -0.01481259 -0.01046959
  0.00243436  0.02302013  0.0108143   0.00025087  0.00593241 -0.00781706
  0.00437645  0.00850289 -0.03810298  0.01225422  0.00510524 -0.00462893
 -0.02247714  0.01195289 -0.00499731 -0.01255414  0.03283394 -0.01763232
 -0.01627143 -0.00475482]",0,0.9722715616226196,0.0277284383773803,neutral,Election administration,0.0001322923490079,0.0001895571622299,2.416950337646995e-05,9.978096932172775e-05,0.0482790730893611,2.8365038815536536e-05,0.0003888861392624,7.537812780356035e-05,0.0003243064566049,0.00011794805323,0.0007487013353966,3.240111982449889e-05,7.915815331216438e-06,0.0002173677494283,8.878490916686133e-06,0.0001997743383981,1.972422433027532e-05,0.0001784022315405,2.9238020943012092e-05,6.413134542526677e-05,0.9360209703445436,0.0073248683474957,4.649503898690455e-05,0.0051769064739346,5.736494495067747e-05,7.009215187281372e-05,9.017295815283431e-05,4.681257996708155e-05,3.481160820228979e-05,6.998740718699992e-05,9.489788499195129e-05,2.023615343205165e-05,2.014048550336156e-05,0.0001551886671222,1.998083826038055e-05,0.0002680562029127,5.0914390158141025e-05,2.3783248252584602e-05,9.524700726615264e-05,8.902355261852791e-07,1.4273982742452066e-05,2.190501436416525e-05,0.0004326089983806,6.129255052655935e-05,0.2070051878690719,0.5740610361099243,0.0535600371658802,0.1062753871083259,0.0590983517467975
"[-0.22703018 -0.13707237  0.08717717 -0.07699523  0.113708   -0.0459952
 -0.02534586 -0.10749914  0.01992967 -0.05119335  0.01007307 -0.04042135
 -0.05955767  0.08370372  0.03148117  0.01661186  0.02230504  0.01166417
  0.00090471  0.04242138 -0.02356233 -0.04293509 -0.00640685  0.00366033
  0.05684175 -0.05305172 -0.00255942 -0.03271029 -0.03148732  0.05023801
 -0.04585693 -0.031028   -0.02601869 -0.00515397 -0.03661386  0.0322328
 -0.00151258  0.00941643  0.03252502  0.02351372  0.00992919 -0.03821021
 -0.00862112  0.03409185  0.00542038 -0.00257624 -0.03839528  0.03037578
 -0.00781062  0.01737305]",1,0.3153932094573974,0.6846067905426025,neutral,Campaign strategies,0.0002944661828223,0.0001324826298514,5.603710815194062e-05,0.0002829357981681,0.1606373041868209,0.0005643817130476,0.0001872149732662,0.0002628870715852,0.0011605062754824,0.0002199765731347,0.0007627026061527,4.043505759909749e-05,3.5873956676368834e-06,6.0535341617651284e-05,4.3365387682570145e-05,0.0001445805246476,6.0208203649381176e-05,7.761942833894865e-05,4.518098648986779e-05,4.977516437065788e-05,0.8230067491531372,0.0084859821945428,1.3753715393249875e-05,0.0024889912456274,3.611863212427125e-05,0.0001586320140631,0.0007029090775176,2.0730150936287828e-05,4.411870031617582e-05,7.261241262312979e-05,0.0001158624290837,3.107665543211624e-05,2.7726942789740864e-05,0.0001090879450202,3.0357396099134352e-05,0.0002654501295182,6.092745024943724e-05,2.574197787907906e-05,0.0001277787960134,1.1596458762141992e-06,1.7875780031317845e-05,2.3220005459734242e-05,0.0003497507132124,7.640278636245057e-05,0.504780113697052,0.1209014430642128,0.0565467849373817,0.1905659884214401,0.1272056251764297
"[ 0.43777697 -0.19565933  0.10897735  0.20184582 -0.06776186  0.02769931
  0.05438022 -0.01381807 -0.02301597  0.02755954 -0.0050576  -0.00976221
 -0.01947532  0.03159881 -0.02036367  0.07957857  0.01627296 -0.02282127
 -0.06336348  0.00914827 -0.02579816 -0.03085162  0.00263838  0.04273274
 -0.0041185   0.0080512  -0.02899021 -0.01866243 -0.02035366 -0.01599017
 -0.00705805 -0.01050916  0.01588279 -0.00689522  0.00738827  0.02111856
 -0.01561951 -0.00448871 -0.00820162 -0.01009687  0.0231949  -0.01464937
  0.01924085  0.00647028  0.00605184  0.00584368  0.01618988  0.01961248
 -0.00328799 -0.00428431]",0,0.7328231334686279,0.2671768963336944,disapproval,Campaign strategies,0.0002284597285324,0.0003225001564715,0.0018174375873059,0.0091619724407792,0.0380600690841674,5.186030830373056e-05,0.0005315797752699999,8.372628508368507e-05,7.66290831961669e-05,0.0069169141352176,0.5788019299507141,0.0027204561047255,0.0003457886632531,0.0001326713827438,0.0001688745105639,0.0001952080929186,6.015654435032047e-05,0.0001286883925786,0.0001552454632474,0.0002084846346406,0.2571553885936737,0.0003947931108996,7.491759606637059e-05,0.1000025197863578,5.153776146471501e-05,0.0002120131102856,0.0017607650952413,0.0001794112758943,2.785016840789467e-05,8.033859921852127e-05,0.0003694382903631,0.0002870176685974,0.0001336121204076,0.0007440625340677,8.182467354345135e-06,0.0005212751566432,2.8263495551072992e-05,0.0002347183035453,0.0007507127011194,8.240283023042139e-06,0.0159603804349899,0.0001696398248896,0.0110570974647998,7.33511697035283e-05,0.3794468343257904,0.1135007366538047,0.0846404880285263,0.2289566844701767,0.1934552788734436
"[-3.79588384e-01 -1.34623248e-01  4.35795846e-02  9.57139598e-03
 -1.42000803e-03 -2.71206281e-02  1.94183358e-02  2.21108251e-02
 -5.54099576e-02 -3.79042692e-02 -7.36705811e-03 -1.89946256e-02
 -3.68543670e-02  2.01084798e-04  4.98439681e-02  1.50773076e-02
  1.69421130e-02 -3.14595284e-02  1.29572638e-02 -2.37880867e-02
 -3.75320057e-02 -6.78884116e-03 -5.24459886e-03  2.78226520e-02
 -1.80494291e-03 -5.40395260e-03 -7.26205707e-03  4.90782717e-03
  1.69694806e-02  2.46068191e-02  1.70677308e-03  2.60097011e-02
 -1.42201653e-02  1.85454544e-03  2.32857465e-02  8.60039935e-03
 -1.13111668e-02  5.52830053e-03  7.10305273e-03 -1.08012254e-02
  4.39745412e-03 -1.71999896e-02  2.00996079e-03 -2.53713706e-02
  1.76117974e-02  2.25306556e-03 -5.96763435e-03 -1.43871436e-04
  1.04664532e-02 -1.18520758e-02]",0,0.9875125288963318,0.0124874860048294,approval,Campaign strategies,0.0001863086217781,0.0001649466721573,4.742990495287813e-05,0.0003377778921276,0.7208840250968933,1.6300920833600685e-05,0.0005049260216765,0.00023976241936900003,0.0001578819501446,0.0001321225427091,0.0017011289019137,8.529635670129208e-05,6.121561000327348e-06,0.0001523923856439,2.0061092072864998e-05,6.71880698064342e-05,6.346268492052332e-06,7.655670924577862e-05,3.321587428217754e-05,9.174958540825172e-05,0.2714085578918457,0.0009751930483616,3.218167694285512e-05,0.0024877614341676,4.764174809679389e-05,2.3732722183922306e-05,7.154649938456714e-05,4.1966100980062044e-05,4.3299751268932596e-05,7.862871279940009e-05,0.000116008464829,2.782924821076449e-05,2.8182696041767485e-05,0.0001076346161426,3.1305629818234586e-05,0.0002482059353496,6.0232836403883994e-05,2.605596637295093e-05,9.522957407170908e-05,1.0975089708153973e-06,1.652778337302152e-05,2.2963766241446137e-05,0.0003461078740656,8.535408414900303e-05,0.4278508722782135,0.0789244696497917,0.0866392999887466,0.1767939031124115,0.2297914326190948
"[ 0.74592951  0.17149959 -0.04675721 -0.00616784  0.12753355 -0.02766485
  0.12844365  0.00558155 -0.03234933  0.02045462  0.01206882  0.01005453
 -0.05726077  0.04292363 -0.00407382  0.00512463 -0.01405231  0.01285664
 -0.0126937   0.0147272   0.01324103  0.00368711 -0.01087465 -0.01843316
  0.03358534  0.00709772 -0.02427726  0.02014788 -0.01397615  0.01299665
 -0.01008431 -0.01450427 -0.00221131  0.01006397  0.00305903  0.01047305
 -0.00109152  0.01709685  0.00830244 -0.01016769  0.00165303  0.00135677
  0.00201015  0.00605395  0.01400353  0.0044303   0.00149447 -0.01642199
 -0.0008767   0.00083301]",0,0.5737395286560059,0.4262605011463165,neutral,Campaign strategies,0.0005689553217962,0.0001492754818173,1.4121080312179403e-05,7.076841575326398e-05,0.021521084010601002,7.802474283380434e-05,9.562381455907598e-05,7.784830086166039e-05,0.0001393824350088,0.0002646742505021,0.0006091055111028,2.2408936274587177e-05,6.0109559854026875e-06,0.0019417505245655,7.811315299477428e-06,0.0013132898602634,1.796940887288656e-05,0.0024192112032324,9.862423758022487e-05,1.991030694625806e-05,0.9665214419364928,0.0006177327013574,4.212645217194222e-05,0.0031164379324764,4.313536555855535e-05,8.7021391664166e-05,5.904492718400434e-05,7.718223787378521e-05,4.176635047770105e-05,6.351219781208783e-05,0.0001059884089045,2.791249062283896e-05,2.3707769287284464e-05,0.0001398527383571,2.5935110897989944e-05,0.0003135683073196,5.7070577895501635e-05,2.9580271075246856e-05,0.0001165233406936,1.0637055538609277e-06,1.6962565496214662e-05,2.103663609887008e-05,0.0003795140655711,8.782215445535257e-05,0.4137574434280395,0.1243211776018142,0.0501567050814628,0.2343829423189163,0.17738169431686399
"[ 0.747256    0.0932054   0.03597135  0.06961818 -0.0131051   0.00585481
 -0.06392475 -0.0432592  -0.05869418  0.01278607  0.0055292   0.02291556
 -0.02572589  0.05105136  0.03617559  0.02222861 -0.01186172  0.01376526
 -0.01610839 -0.04363684 -0.00702506  0.00361413 -0.02857114  0.01736049
  0.01318447 -0.00144137 -0.01452622  0.0007793   0.00857474 -0.01405531
  0.00249584  0.01107489  0.01051416  0.01950967 -0.02328745  0.00720743
  0.0052557   0.00443748  0.00345691  0.00117465 -0.0028728  -0.00303897
 -0.00705987 -0.00100766  0.01359875 -0.00296534  0.01095545  0.00250918
 -0.00203632 -0.02782368]",0,0.72512286901474,0.2748770713806152,neutral,Women in politics,9.844305168371648e-05,0.0001247332402272,2.28902354137972e-05,0.0001315659028477,0.0134210456162691,7.347861810558243e-06,0.0004688928311225,4.948276909999549e-05,2.2611498934566047e-05,0.0002150288346456,0.0007120216032489999,6.495622073998676e-05,1.0297600965714082e-05,5.037381561123766e-05,2.513945219106972e-05,4.129459193791263e-05,1.6577638234593906e-05,4.99730340379756e-05,1.67050620802911e-05,4.905056266579777e-05,0.9667822122573853,0.0003414680249989,2.6609006454236805e-05,0.0170686803758144,3.15118559228722e-05,3.3067917684093124e-05,7.395840657409279e-05,4.398231249069795e-05,4.8571524530416355e-05,4.638208338292316e-05,7.93671133578755e-05,1.3683599718206095e-05,2.9336733859963715e-05,0.0003533907292876,1.3801629393128678e-05,0.000202865267056,3.489204027573578e-05,5.807016350445338e-05,0.0001435234880773,1.3308368806974609e-06,3.85630082746502e-05,4.6654859033878886e-05,0.0009645246318541,8.006036659935489e-05,0.2223431915044784,0.1069038584828376,0.1148292273283004,0.2363334447145462,0.3195902407169342
"[-5.46560615e-01  3.03180932e-02 -2.49937574e-02  5.77060182e-02
  1.03766570e-01 -9.85587727e-03 -2.82829652e-02  9.22359039e-02
  1.44265306e-02 -3.51788272e-02  3.64653997e-03 -7.27551345e-03
 -5.05150190e-02  1.75501888e-02  4.43738914e-02  7.35494076e-02
  1.22027485e-02 -5.87727130e-02  2.58380769e-02 -1.04378715e-02
 -3.49582363e-02 -5.49929570e-02  2.90006932e-03  2.31157084e-02
 -9.01520621e-03  1.60691481e-03  2.50720299e-02  3.42373522e-02
  6.64651276e-03  3.15399087e-03  5.06673659e-03  1.03664671e-02
 -4.59608912e-03  2.90878935e-02 -1.53998739e-02 -9.81057953e-03
  1.29982530e-02 -2.13330922e-02  6.29654832e-03  6.45741380e-03
  1.13029904e-02 -6.45235635e-03 -4.84909855e-04 -1.33127278e-02
 -7.49496685e-03 -1.33884137e-02 -7.20703005e-03 -6.96302859e-03
  6.45266258e-03 -6.94981949e-03]",0,0.9725165963172911,0.0274834167212247,neutral,Campaign strategies,0.0005005710409022,0.0004143297264818,9.328301530331372e-05,0.0002153704263037,0.103327102959156,4.663775325752795e-05,0.0007180349784903,6.0115864471299574e-05,0.0001178229795186,0.0024333712644875,0.0257654208689928,7.267099863383919e-05,1.9425420759944245e-05,0.0001142842447734,1.119076659961138e-05,0.0004493164015002,4.1209554183296866e-05,0.0003205167304258,0.0001299710565945,5.7530647609382875e-05,0.857324481010437,0.0024832061026245,3.6373687180457643e-05,0.0045947907492518,8.638185681775212e-05,0.000170515733771,0.0003380192210897,5.8019541029352695e-05,3.565380029613152e-05,6.0554717492777854e-05,9.911170491250232e-05,2.467490412527696e-05,2.482839954609517e-05,0.0001414149883203,2.5582194211892787e-05,0.0002589401556178,5.519712794921361e-05,2.8105347155360505e-05,9.6574702183716e-05,9.750245908435318e-07,1.5467523553525098e-05,2.241356014565099e-05,0.0004008118412457,7.288317283382639e-05,0.2838742733001709,0.2449307441711425,0.1159863546490669,0.2737935483455658,0.0814151540398597
"[ 0.7628132   0.09280532 -0.03804972  0.05945561  0.03733086  0.03408602
 -0.02935681 -0.04048382 -0.05281744  0.0257365   0.0034784  -0.00958769
 -0.0086913   0.02260876 -0.02206881  0.01106675  0.01847303 -0.02006934
 -0.00972624 -0.00232543  0.01727672  0.01443984  0.01109328  0.03367665
 -0.01631814 -0.02239842  0.01752433  0.02784265 -0.01303624 -0.02182366
 -0.00087627  0.01516803  0.00749244  0.01694916 -0.01872528 -0.00728808
  0.00596252  0.00194353 -0.00375457 -0.00181796  0.00338811 -0.00542981
  0.00274688 -0.00226466 -0.00840947  0.00794629 -0.01033528 -0.0008509
  0.00910037  0.00744401]",0,0.6899781823158264,0.3100218176841736,neutral,Campaign strategies,0.0001216653181472,4.330554656917229e-05,0.0121633429080247,0.0054415836930274,0.0044806906953454,0.0001791544782463,0.00048603935283599996,6.060407758923248e-05,4.670511771109887e-05,0.0066175055690109,0.0415867306292057,0.0035128297749906,0.0002866625727619,1.92748848348856e-05,7.93858926044777e-05,8.673552656546235e-05,5.689443059964106e-05,2.1779655071441084e-05,9.30941168917343e-05,7.641094998689367e-05,0.9171187281608582,0.0005621211021207,7.252141222124919e-05,0.0051653794944286,5.5891348893055686e-05,0.0003742441476788,0.0011562929721549,3.442988236201927e-05,9.583026258042082e-05,0.9903259873390198,0.0001548327418277,6.488260260084644e-05,0.0014418034115806,0.0035101438406854,0.0001757958525558,0.0005771923460997,0.000270202581305,0.0001725850597722,0.0003841109282802,1.778074147296138e-05,0.0002364913525525,0.0001444353692932,0.0092769227921962,0.0002908657770603,0.2998338341712951,0.1320372968912124,0.0989151298999786,0.2811971008777618,0.1880166232585907
"[ 5.96663696e-01 -9.05625020e-02 -2.68995288e-02 -1.46946081e-03
  3.81654089e-02  5.54061144e-02 -4.64023524e-02 -7.46405455e-02
 -5.92060198e-02  4.61112827e-03  1.25218550e-02 -4.05605880e-02
  3.59064758e-02  1.58277049e-02 -2.69556476e-02  1.52193021e-02
  2.58836940e-02  2.20392728e-02 -1.03588640e-02  1.21907429e-02
  4.48366549e-03 -1.95385474e-04 -1.48431869e-02  2.94841598e-02
 -1.55627281e-02 -2.41814695e-02  1.78168615e-04 -6.65104986e-04
 -7.69529303e-04  1.18318047e-02  1.82799420e-03  4.47647073e-02
 -1.26214720e-02  1.17746099e-02 -2.34381491e-02 -2.85571782e-02
  1.98490951e-03 -1.21901254e-02 -5.50669018e-03  5.07927724e-03
  4.86698524e-03 -2.04049470e-02 -5.03280553e-03 -8.66632748e-03
 -1.16784703e-02 -1.10541855e-02  9.34820353e-03 -6.02789027e-03
 -1.25898077e-03  3.45999314e-03]",0,0.8760426044464111,0.1239573433995246,neutral,Voter turnout,0.0001224528823513,8.780193456914276e-05,1.428146697435295e-05,0.0001133008408942,0.0058905011974275,9.619125194149092e-06,0.0001099531727959,2.8522059437818822e-05,4.966060078004375e-05,0.0001131467579398,0.0004452906141523,2.9974300559842962e-05,4.2321021282987195e-06,2.203669100708794e-05,7.5764860412164126e-06,3.219513746444136e-05,6.500647486973322e-06,2.079671685351059e-05,1.5704699762864042e-05,1.2694204997387715e-05,0.9899699091911316,0.0002071246854029,8.844675903674215e-06,0.0025844147894531,7.855896001274232e-06,2.5866462237900126e-05,4.8306021199096e-05,1.1457710570539348e-05,3.544220089679584e-05,6.665490218438208e-05,9.616612805984914e-05,2.027751179412008e-05,2.168457285733893e-05,0.0001562793622724,2.0303557903389446e-05,0.000240269160713,4.9068643420469016e-05,2.624820263008587e-05,0.0001023122385959,9.314802014159795e-07,1.6013616914278828e-05,2.2053667635191232e-05,0.0004413335118442,7.03235127730295e-05,0.275353729724884,0.1201745867729187,0.0852003470063209,0.3662704229354858,0.153000921010971
"[ 0.28821842 -0.24378045  0.11022611  0.23753742 -0.08393224  0.04251144
  0.04301615 -0.04910657 -0.07067896  0.03991709  0.04076037 -0.02915363
 -0.01630741 -0.03474758 -0.02191929  0.05773852  0.06406821 -0.02968702
 -0.03080525  0.01217565 -0.01047297 -0.06177456 -0.01217154 -0.00882976
 -0.01930525 -0.00855266  0.00700227 -0.00545808 -0.00236578 -0.00391932
 -0.01676889  0.00218458  0.00939974 -0.00600305  0.02566745  0.03425845
 -0.03517761 -0.00332427  0.00426627 -0.00104379  0.00522468 -0.01915887
  0.01681501  0.00529221  0.02174833  0.00683334 -0.00887627  0.01795941
 -0.00996548 -0.01132618]",0,0.6338010430335999,0.3661989569664001,approval,Campaign strategies,0.0004827904631383,4.5679502363782376e-05,2.0334418877610002e-05,0.0001717569102765,0.8635517358779907,4.845106377615594e-05,0.0001525850821053,0.0004017169412691,0.0004547137650661,0.0005885087302885,0.0012498031137511,7.738544809399174e-05,4.9327318265568465e-06,0.0001097098283935,6.666489935014397e-05,6.370139453792946e-05,7.814304808562158e-06,6.211795698618515e-05,2.88951960101258e-05,0.0001084436735254,0.1279487162828445,0.001682567060925,1.2252520718902815e-05,0.0022749647032469,8.58043276821263e-05,2.0877510905847885e-05,0.0002288069663336,4.816249202121981e-05,4.5693868742091574e-05,8.141010766848922e-05,0.0001259362761629,3.215336619177833e-05,2.797815977828577e-05,0.0001057099289027,3.3593008993193514e-05,0.0002464794961269,6.442579615395516e-05,2.774386848614085e-05,0.00010727301560100001,1.176909449895902e-06,1.7881664462038316e-05,2.2229811293073002e-05,0.0003403915616218,8.708976383786649e-05,0.4077368378639221,0.1044855862855911,0.0711391195654869,0.1601831465959549,0.2564553022384643
