,claims,evidences,label,date
0,"On March 2,  2023, Koswe Facebook page published an article claiming that Zambia’s Former Republican President, Dr Edgar Changwa Lungu had declared himself ready for the 2026 General Elections and was determined to remove the current Republican President, Mr. Hakainde Hichilema from office. The post was accompanied by a video clip of the Former President, addressing a public gathering where he allegedly declared his readiness for the elections.","The iVerify Zambia has determined as false the claim by the Koswe Facebook page that Zambia’s former Republican President, Dr Edgar Chagwa Lungu had  declared himself ready for the 2026 General Elections and that he was determined to remove the current Republican President, Mr. Hakainde Hichilema from office. The video clip alleged to be recent was taken 3 years ago during a memorial service for the late Republican President, Mr. Michael Chilufya Sata. iVerify Zambia contacted former Zambia’s Ambassador to Ethiopia and an aspiring candidate for the Presidency of the Patriotic Front party, Honorable Emmanuel Mwamba refuted the claims by Koswe, confirming that the video clip was indeed taken in 2021 during the memorial service for the late President Michael Chilufya Sata.",False,"Mar, 09 2023"
1,"On 22 February 2023, a Facebook page called Zambia Today and various social media platforms and WhatsApp groups carried reports that Cyclone Freddy was likely to hit Zambia between 23rd and 28th February 2023. Some of the reports quoted authorities like the Disaster Management and Mitigation Unit (DMMU), as well as the United Nations in Zambia. The DMMU is mandated by law to warn communities at risk of impending hazards for them to take early action to avert, minimize loss to human lives, damage to property, livelihoods and the environment. The UN works with government on various developmental efforts, including disaster mitigation. ","iVerify has determined as true reports that Cyclone Freddy may affect Zambia. The Disaster Management and Mitigation Unit (DMMU) in the Office of the Vice President issued a statement to alert and warn the public about Cyclone Freddy and the impending risks and the need to take early action to avert or minimize loss to human lives as well as damage to property, livelihoods and the environment. ",True,"Feb, 23 2023"
2,"On February 21, 2023, a Facebook page called Kalebalika , posted a picture of a purported Comprehemsive Sexuality Education textbook for Grade 5 with a caption “Graphic, highly sexual content being taught to your children under Comprehensive Sexuality Education (CSE)”. Similar posts were shared widely by other online social media outlets, individual Facebook pages and WhatsApp networks. The posts attracted a backlash from members of the public who observed that the content of the book in the picture was not suitable for learners and was against the moral culture of the country. ","iVerify Zambia has determined as misleading the pictures and statement by Kalbalika Facebook page and other social media platforms, alleging that Zambian schools were providing sexuality education that exposed learners to highly graphical sexual content.   ",Misleading,"Feb, 23 2023"
3,"The Patriotic Front (PF) Facebook page, on January 21, 2023, posted an image with a statement alleging that the Zambian Government had approved the proposal for an open pit copper mine, the Kangaluwi mine Project, in the heart of the Lower Zambezi National Park. The claim further stated that the mining company had since started felling trees and constructing a road into the national park.",iVerify Zambia has determined as false the claims by the Patriotic Front (PF) Facebook page that the Zambian government had approved the proposal for an open pit copper mine called Kangaluwi project in the Lower Zambezi National Park and that construction of a road into the national park had started.  ,False,"Feb, 22 2023"
4,"On Wednesday, February 17, 2023, Grindstone Television Zambia Facebook page carried a post that Mr. Caristo Chitamfya had been appointed new ZESCO Spokesperson. Similar posts appeared on other social media platforms such as The Candidate and Fyambe Media which further alleged that Mr. Chitamfya had replaced Mr. Henry Kapata who has moved to Cabinet office. The Grindstone Television Zambia post attracted different reactions from followers with some congratulating Mr. Chitamfya on his appointment.  ","iVerify Zambia has determined as misleading the claim by Grindstone Television Zambia Facebook page and other social media platforms that Mr. Caristo Chitamfya is the new ZESCO Spokesperson, and that he has replaced Mr. Henry Kapata. ",Misleading,"Feb, 18 2023"
5,"A Facebook page called Zambian Eye News published an article on February 7, 2023, claiming that a snake was found in a police cell where Dr Chishimba Kambwili was detained. A picture of the alleged snake accompanied the article. The post was also published on their website.","iVerify Zambia has determined as misleading the claim that a snake was found in a police cell where Dr Chishimba Kambwili was detained. On February 7, 2023, Dr Kambwili, a former Minister of Information under the Patriotic Front government was arrested and detained at Balmoral Police post in Makeni. ",Misleading,"Feb, 13 2023"
6,"On Monday, January 30, 2023, the Zambian Watchdog Facebook page uploaded a post asserting that Mr. Miles Bwalya Sampa had been expelled from the Patriotic Front Party. The post attracted mixed reactions and comments from the public as Mr. Sampa is among Patriotic Front party members aspiring for the Presidency of the party at the party convention slated for March 2023. ",The iVerify Zambia Fact checking process has determined as misleading the claim by the Zambian Watchdog Facebook page that Mr. Miles Bwalya Sampa who is among members of the Patriotic Front party aspiring for the party Presidency had been expelled from the party.,Misleading,"Feb, 10 2023"
7,"On Wednesday, January 4, 2023, Fyambe Media Facebook page uploaded a statement, purportedly issued by some Catholic priests from the Archdiocese of Lusaka calling for the removal of the Archbishop of Lusaka Archdiocese, Bishop Rev. Dr. Alick Banda from his position. The statement claimed that the alleged aggrieved priests were not pleased with the leadership of Bishop Banda, whom they accused of promiscuity, abuse of seminarian funds, Patriotic Front alignment, corruption, and poor governance of the church.","iVerify Zambia has determined as false the claim by Fyambe Media Facebook page which alleged that Catholic priests from the Archdiocese of Lusaka had issued a statement calling for the removal of Bishop Rev. Dr. Alick Banda, the Archbishop of Lusaka Archdiocese, from his position for alleged scandalous conduct.   ",False,"Feb, 10 2023"
8,"The Daily Nation Zambia newspaper published an article purporting that former Republican President Edgar Lungu’s lodge had been seized by the Drug Enforcement Commission (DEC) according to a notice served on the former Head of State dated September 19, 2022. According to the article, it is alleged that Crest Lodge, which is property No. LUS/38479 was seized under Section 15 of the Money Laundering Act No. 14 of 2021 as there were reasonable grounds to believe that the property was liable for seizure.","iVerify Zambia fact-checking process has determined as misleading, the assertion that Crest lodge, which is property No. LUS/38479, belongs to the former Republican President, Mr. Edgar Lungu. In a statement released by the Drug Enforcement Commission, the Director General, Ms. Mary Chirwa stated that DEC had removed the notice of seizure after exhausting its inquiries into the property and learning that it did not belong to Mr. Lungu. According to Ms. Chirwa, DEC investigations revealed that property No. LUS/38478 was owned by Mr. Charles Phiri, and not Mr. Lungu as had been previously declared. Although DEC had issued the seizure notice in President Lungu’s name, she said that the verification process had shown and confirmed that the property in question actually belonged to Mr. Phiri. Therefore, the assertion that Crest lodge belongs to former Republican President, Mr. Edgar Lungu is misleading.",Misleading,"Feb, 09 2023"
9,"On January 26, 2023, the Patriotic Front (PF) Facebook page published two images with the caption, “no desks from government or CDF”. The images showed children in school uniform sitting on the floor of an unfurnished classroom while writing. The post received a lot of mixed reactions from the followers, with most of them expressing concern over the depicted situation considering that government policy was to procure and provide desks to schools through the Constituency Development Fund (CDF).","The iVerify Zambia fact checking process has determined as misleading the assertion made by the Patriotic Front (PF) Facebook Page that no desks from the government or CDF were delivered to the school depicted by the picture, forcing pupils to sit on the floor while learning. ",False,"Feb, 09 2023"
